ubigeo,department,province,district,idh,monetary_poverty,life_expectancy,complete_secondary_education,years_education,family_income,number_hh,hh_1_nib_or_more,hh_inadequate_characteristics,overcrowded_housing,hh_wo_bathrooms,hh_children_not_attending_school,hh_high_economic_dependence
160704,LORETO,DATEM DEL MARANON,MORONA,0.312123786,0.401,80.36661537,0.211586902,5.2473,393.394255,922,735,112,335,552,161,95
160705,LORETO,DATEM DEL MARANON,PASTAZA,0.242316163,0.4296124,70.24621874,0.167475728,4.2855,306.6404149,1062,710,371,369,344,122,125
160706,LORETO,DATEM DEL MARANON,ANDOAS,0.228469537,0.47483688,79.68212101,0.170774648,3.8383,241.0184643,2348,2220,1110,972,2057,469,93
160801,LORETO,PUTUMAYO,PUTUMAYO,0.471862145,0.3950526,76.4514087,0.35770235,6.9199,875.9474381,809,383,113,144,175,21,41
160802,LORETO,PUTUMAYO,ROSA PANDURO,0.340232781,0.37402503,77.76203558,0.131578947,6.2246,580.2416922,128,88,1,42,73,2,3
160803,LORETO,PUTUMAYO,TENIENTE MANUEL CLAVERO,0.268222321,0.42368012,79.53368478,0.176724138,4.4068,325.5564091,534,382,11,113,326,60,52
160804,LORETO,PUTUMAYO,YAGUAS,0.441179104,0.60889179,76.08533785,0.279279279,5.594,945.1078464,253,168,2,56,150,2,13
170101,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,0.569620222,0.04787605,69.71023143,0.675290473,9.5038,1045.098703,24052,4861,2463,2371,177,362,246
170102,MADRE DE DIOS,TAMBOPATA,INAMBARI,0.50457458,0.05689339,73.80656441,0.564738292,7.6384,842.8666299,3507,1309,594,485,398,91,59
170103,MADRE DE DIOS,TAMBOPATA,LAS PIEDRAS,0.50272611,0.04843215,74.47052247,0.581243184,7.7599,804.0627054,3580,1240,722,538,90,81,57
170104,MADRE DE DIOS,TAMBOPATA,LABERINTO,0.485776328,0.09938976,75.64730108,0.612732095,6.8352,753.1603169,1550,626,325,285,90,33,65
170201,MADRE DE DIOS,MANU,MANU,0.50715495,0.10757411,75.20855337,0.555555556,7.8093,827.4665746,774,337,219,110,131,7,16
170202,MADRE DE DIOS,MANU,FITZCARRALD,0.342773446,0.16918182,77.72557502,0.330357143,5.1373,440.4366983,341,249,81,148,184,17,50
170203,MADRE DE DIOS,MANU,MADRE DE DIOS,0.542076108,0.01922952,76.65235419,0.597189696,7.5384,963.4349099,1799,1008,256,300,754,41,37
170204,MADRE DE DIOS,MANU,HUEPETUHE,0.591145284,0.06808265,74.86369088,0.64659271,7.7937,1207.864145,2689,1495,540,389,1117,56,52
170301,MADRE DE DIOS,TAHUAMANU,INAPARI,0.660494973,0.02149282,84.4588101,0.48,8.2358,1571.677714,703,150,25,102,18,15,9
170302,MADRE DE DIOS,TAHUAMANU,IBERIA,0.603665163,0.07588064,84.25182935,0.582210243,8.5934,1075.436094,1582,482,267,167,100,18,31
170303,MADRE DE DIOS,TAHUAMANU,TAHUAMANU,0.541697403,0.03383291,85.68804164,0.49132948,7.0167,946.7906617,835,333,221,119,37,13,11
180101,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,0.656801097,0.07023362,78.92472528,0.749208861,10.3949,1188.995586,22224,5397,4518,858,317,129,89
180102,MOQUEGUA,MARISCAL NIETO,CARUMAS,0.503976122,0.2646084,74.54063812,0.702702703,6.6247,817.0952751,951,335,156,33,193,3,7
180103,MOQUEGUA,MARISCAL NIETO,CUCHUMBAYA,0.483874506,0.2646084,75.141403,0.761904762,5.6297,772.1932771,372,118,7,18,93,2,0
180104,MOQUEGUA,MARISCAL NIETO,SAMEGUA,0.686165534,0.05229743,79.11271387,0.794871795,10.1481,1326.687226,2779,529,407,100,88,18,6
180105,MOQUEGUA,MARISCAL NIETO,SAN CRISTOBAL,0.427345719,0.39932577,74.66653439,0.671875,5.7295,573.9812731,787,246,54,24,185,1,8
180106,MOQUEGUA,MARISCAL NIETO,TORATA,0.700733204,0.06052455,76.39519681,0.71484375,10.1533,1561.909514,1689,245,103,47,114,10,12
180201,MOQUEGUA,GENERAL SANCHEZ CERRO,OMATE,0.636886417,0.0746908,80.52666562,0.786982249,9.9128,1061.192552,1097,147,46,44,70,2,4
180202,MOQUEGUA,GENERAL SANCHEZ CERRO,CHOJATA,0.46749456,0.2429267,90.23618187,0.75,5.2532,577.3904042,346,53,15,9,45,1,1
180203,MOQUEGUA,GENERAL SANCHEZ CERRO,COALAQUE,0.473414929,0.1708282,83.55418602,0.657894737,6.8615,588.4296458,383,49,7,19,28,1,2
180204,MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUNA,0.484643956,0.34399632,81.82039552,0.734693878,6.9473,609.1608086,1361,515,113,76,412,10,8
180205,MOQUEGUA,GENERAL SANCHEZ CERRO,LA CAPILLA,0.553932825,0.1708282,79.56606171,0.733333333,8.533,816.2787663,307,202,79,29,170,0,2
