type,origin,destination,weight
study,150128,150122,497
study,150128,150123,32
study,150128,150124,1
study,150128,150125,42
study,150128,150128,31412
study,150128,150129,4
study,150128,150130,187
study,150128,150131,806
study,150128,150132,993
study,150128,150133,22
study,150128,150134,46
study,150128,150135,580
study,150128,150136,527
study,150128,150137,167
study,150128,150139,1
study,150128,150140,574
study,150128,150141,189
study,150128,150142,39
study,150128,150143,18
study,150129,150101,67
study,150129,150103,6
study,150129,150104,2
study,150129,150105,7
study,150129,150108,39
study,150129,150111,1
study,150129,150112,2
study,150129,150113,16
study,150129,150114,27
study,150129,150115,4
study,150129,150116,20
study,150129,150117,9
study,150129,150119,76
study,150129,150120,5
study,150129,150122,29
study,150129,150123,21
study,150129,150124,5
study,150129,150126,2
study,150129,150127,116
study,150129,150128,1
study,150129,150129,1307
study,150129,150130,13
study,150129,150131,10
study,150129,150132,5
study,150129,150133,16
study,150129,150134,2
study,150129,150135,7
study,150129,150136,6
study,150129,150137,5
study,150129,150138,9
study,150129,150140,110
study,150129,150141,7
study,150129,150142,60
study,150129,150143,6
study,150130,150101,1058
study,150130,150103,322
study,150130,150104,111
study,150130,150105,148
study,150130,150106,3
study,150130,150107,6
study,150130,150108,561
study,150130,150109,9
study,150130,150110,15
study,150130,150111,33
study,150130,150112,35
study,150130,150113,929
study,150130,150114,2864
study,150130,150115,407
study,150130,150116,476
study,150130,150117,80
study,150130,150118,23
study,150130,150119,16
study,150130,150120,132
study,150130,150122,1617
study,150130,150123,68
study,150130,150125,7
study,150130,150128,93
study,150130,150129,1
study,150130,150130,9649
study,150130,150131,1688
study,150130,150132,60
study,150130,150133,36
study,150130,150134,425
study,150130,150135,199
study,150130,150136,794
study,150130,150137,149
study,150130,150140,6120
study,150130,150141,757
study,150130,150142,123
study,150130,150143,11
study,150131,150101,396
study,150131,150103,43
study,150131,150104,114
study,150131,150105,81
study,150131,150106,1
study,150131,150107,1
study,150131,150108,415
study,150131,150109,1
study,150131,150110,7
study,150131,150111,2
study,150131,150112,19
study,150131,150113,852
study,150131,150114,1089
study,150131,150115,67
study,150131,150116,387
study,150131,150117,28
study,150131,150118,10
study,150131,150119,2
study,150131,150120,239
study,150131,150122,2078
study,150131,150123,25
study,150131,150125,3
study,150131,150128,28
study,150131,150130,390
study,150131,150131,4642
study,150131,150132,15
study,150131,150133,5
study,150131,150134,12
study,150131,150135,90
study,150131,150136,841
study,150131,150137,27
study,150131,150140,1825
study,150131,150141,179
study,150131,150142,53
study,150131,150143,1
study,150132,150101,16932
study,150132,150102,41
study,150132,150103,472
study,150132,150104,199
study,150132,150105,2194
study,150132,150106,40
study,150132,150107,50
study,150132,150108,713
study,150132,150109,22
study,150132,150110,307
study,150132,150111,999
study,150132,150112,1109
study,150132,150113,3606
study,150132,150114,2868
study,150132,150115,1736
study,150132,150116,3366
study,150132,150117,1969
study,150132,150118,929
study,150132,150119,64
study,150132,150120,554
study,150132,150122,1570
study,150132,150123,126
study,150132,150124,1
study,150132,150125,220
study,150132,150127,1
study,150132,150128,2222
study,150132,150129,25
study,150132,150130,1186
study,150132,150131,2053
study,150132,150132,253215
study,150132,150133,225
study,150132,150134,247
study,150132,150135,1010
study,150132,150136,2116
study,150132,150137,1181
study,150132,150139,8
study,150132,150140,3630
study,150132,150141,582
study,150132,150142,333
study,150132,150143,126
study,150133,150101,4165
study,150133,150102,11
study,150133,150103,203
study,150133,150104,329
study,150133,150105,467
study,150133,150106,5
study,150133,150107,13
study,150133,150108,2966
study,150133,150109,3
study,150133,150110,77
study,150133,150111,141
study,150133,150112,200
study,150133,150113,1216
study,150133,150114,1256
study,150133,150115,391
study,150133,150116,1061
study,150133,150117,602
study,150133,150118,138
study,150133,150119,88
study,150133,150120,235
study,150133,150122,2516
study,150133,150123,189
study,150133,150124,2
study,150133,150125,42
study,150133,150127,1
study,150133,150128,362
study,150133,150129,8
study,150133,150130,820
study,150133,150131,712
study,150133,150132,436
study,150133,150133,67198
study,150133,150134,236
study,150133,150135,249
study,150133,150136,619
study,150133,150137,315
study,150133,150139,3
study,150133,150140,7282
study,150133,150141,689
study,150133,150142,3359
study,150133,150143,1648
study,150134,150101,925
study,150134,150103,691
study,150134,150104,30
study,150134,150105,172
study,150134,150106,1
study,150134,150107,4
study,150134,150108,102
study,150134,150110,11
study,150134,150111,56
study,150134,150112,27
study,150134,150113,378
study,150134,150114,687
study,150134,150115,721
study,150134,150116,446
study,150134,150117,75
study,150134,150118,32
study,150134,150119,1
study,150134,150120,58
study,150134,150122,273
study,150134,150123,18
study,150134,150124,1
study,150134,150125,5
study,150134,150128,54
study,150134,150130,1018
study,150134,150131,367
study,150134,150132,89
study,150134,150133,16
study,150134,150134,6193
study,150134,150135,57
study,150134,150136,229
study,150134,150137,147
study,150134,150140,991
study,150134,150141,139
study,150134,150142,55
study,150134,150143,7
study,150135,150101,11840
study,150135,150102,38
study,150135,150103,153
study,150135,150104,168
study,150135,150105,2535
study,150135,150106,123
study,150135,150107,31
study,150135,150108,524
study,150135,150110,2138
study,150135,150111,351
study,150135,150112,5164
study,150135,150113,3163
study,150135,150114,1893
study,150135,150115,580
study,150135,150116,1904
study,150135,150117,27156
study,150135,150118,247
study,150135,150119,40
study,150135,150120,617
study,150135,150122,1306
study,150135,150123,107
study,150135,150124,2
study,150135,150125,409
study,150135,150128,2433
study,150135,150129,13
study,150135,150130,533
study,150135,150131,2206
study,150135,150132,423
study,150135,150133,40
study,150135,150134,115
study,150135,150135,110988
study,150135,150136,4599
study,150135,150137,683
study,150135,150139,10
study,150135,150140,2177
study,150135,150141,538
study,150135,150142,126
study,150135,150143,34
study,150136,150101,3012
study,150136,150103,23
study,150136,150104,103
study,150136,150105,1106
study,150136,150106,3
study,150136,150107,6
study,150136,150108,353
study,150136,150109,1
study,150136,150110,43
study,150136,150111,50
study,150136,150112,94
study,150136,150113,1822
study,150136,150114,1109
study,150136,150115,148
study,150136,150116,713
study,150136,150117,389
study,150136,150118,26
study,150136,150119,4
study,150136,150120,2523
study,150136,150122,1035
study,150136,150123,31
study,150136,150125,8
study,150136,150128,149
study,150136,150130,314
study,150136,150131,2316
study,150136,150132,59
study,150136,150133,2
study,150136,150134,49
study,150136,150135,280
study,150136,150136,23554
study,150136,150137,182
study,150136,150140,1440
study,150136,150141,271
study,150136,150142,114
study,150136,150143,9
study,150137,150101,3467
study,150137,150102,3
study,150137,150103,3579
study,150137,150104,64
study,150137,150105,428
study,150137,150106,7
study,150137,150107,31
study,150137,150108,131
study,150137,150109,9
study,150137,150110,58
study,150137,150111,1005
study,150137,150112,300
study,150137,150113,767
study,150137,150114,2851
study,150137,150115,504
study,150137,150116,988
study,150137,150117,606
study,150137,150118,317
study,150137,150119,21
study,150137,150120,129
study,150137,150122,344
study,150137,150123,47
study,150137,150124,1
study,150137,150125,37
study,150137,150128,305
study,150137,150129,1
study,150137,150130,397
study,150137,150131,456
study,150137,150132,947
study,150137,150133,33
study,150137,150134,246
study,150137,150135,231
study,150137,150136,490
study,150137,150137,36590
study,150137,150139,1
study,150137,150140,1438
study,150137,150141,152
study,150137,150142,75
study,150137,150143,23
study,150138,150101,7
study,150138,150103,1
study,150138,150108,5
study,150138,150114,6
study,150138,150115,1
study,150138,150116,5
study,150138,150117,1
study,150138,150119,14
study,150138,150122,5
study,150138,150123,2
study,150138,150126,1
study,150138,150127,11
study,150138,150129,91
study,150138,150130,1
study,150138,150131,3
study,150138,150132,1
study,150138,150133,2
study,150138,150136,1
study,150138,150137,1
study,150138,150138,61
study,150138,150140,17
study,150138,150142,9
study,150138,150143,1
study,150139,150101,223
study,150139,150102,635
study,150139,150103,5
study,150139,150104,3
study,150139,150105,27
study,150139,150106,18
study,150139,150107,1
study,150139,150108,5
study,150139,150109,1
study,150139,150110,81
study,150139,150111,9
study,150139,150112,105
study,150139,150113,48
study,150139,150114,30
study,150139,150115,21
study,150139,150116,37
study,150139,150117,579
study,150139,150118,4
study,150139,150119,1
study,150139,150120,11
study,150139,150122,20
study,150139,150123,4
study,150139,150125,455
study,150139,150128,26
study,150139,150130,11
study,150139,150131,30
study,150139,150132,33
study,150139,150133,14
study,150139,150134,6
study,150139,150135,111
study,150139,150136,62
study,150139,150137,9
study,150139,150139,4805
study,150139,150140,29
study,150139,150141,13
study,150139,150142,13
study,150139,150143,4
study,150140,150101,2931
study,150140,150102,4
study,150140,150103,421
study,150140,150104,4066
study,150140,150105,326
study,150140,150106,2
study,150140,150107,11
study,150140,150108,5318
study,150140,150109,5
study,150140,150110,42
study,150140,150111,63
study,150140,150112,90
study,150140,150113,2171
study,150140,150114,6500
study,150140,150115,270
study,150140,150116,930
study,150140,150117,359
study,150140,150118,72
study,150140,150119,45
study,150140,150120,317
study,150140,150122,7272
study,150140,150123,180
study,150140,150125,19
study,150140,150127,3
study,150140,150128,182
study,150140,150129,1
study,150140,150130,2430
study,150140,150131,2286
study,150140,150132,216
study,150140,150133,1014
study,150140,150134,202
study,150140,150135,389
study,150140,150136,1711
study,150140,150137,316
study,150140,150139,1
study,150140,150140,54167
study,150140,150141,1290
study,150140,150142,799
study,150140,150143,159
study,150141,150101,1167
study,150141,150103,47
study,150141,150104,289
study,150141,150105,177
study,150141,150106,2
study,150141,150107,4
study,150141,150108,448
study,150141,150109,7
study,150141,150110,14
study,150141,150111,23
study,150141,150112,34
study,150141,150113,606
study,150141,150114,788
study,150141,150115,136
study,150141,150116,549
study,150141,150117,112
study,150141,150118,20
study,150141,150119,4
study,150141,150120,125
study,150141,150122,3311
study,150141,150123,36
study,150141,150125,10
study,150141,150128,73
study,150141,150130,1356
study,150141,150131,1412
study,150141,150132,48
study,150141,150133,73
study,150141,150134,73
study,150141,150135,108
study,150141,150136,430
study,150141,150137,104
study,150141,150140,3058
study,150141,150141,8701
study,150141,150142,112
study,150141,150143,24
study,150142,150101,4240
study,150142,150102,8
study,150142,150103,177
study,150142,150104,161
study,150142,150105,386
study,150142,150106,8
study,150142,150107,17
study,150142,150108,1711
study,150142,150109,8
study,150142,150110,79
study,150142,150111,122
study,150142,150112,203
study,150142,150113,959
study,150142,150114,889
study,150142,150115,352
study,150142,150116,959
study,150142,150117,775
study,150142,150118,197
study,150142,150119,882
study,150142,150120,172
study,150142,150122,1597
study,150142,150123,212
study,150142,150124,7
study,150142,150125,57
study,150142,150126,6
study,150142,150127,3
study,150142,150128,352
study,150142,150129,12
study,150142,150130,616
study,150142,150131,572
study,150142,150132,515
study,150142,150133,3449
study,150142,150134,240
study,150142,150135,250
study,150142,150136,496
study,150142,150137,286
study,150142,150139,1
study,150142,150140,4732
study,150142,150141,493
study,150142,150142,90640
study,150142,150143,2211
study,150143,150101,4062
study,150143,150102,7
study,150143,150103,199
study,150143,150104,230
study,150143,150105,377
study,150143,150106,13
study,150143,150107,8
study,150143,150108,1171
study,150143,150109,8
study,150143,150110,64
study,150143,150111,107
study,150143,150112,164
study,150143,150113,974
study,150143,150114,848
study,150143,150115,324
study,150143,150116,985
study,150143,150117,620
study,150143,150118,180
study,150143,150119,361
study,150143,150120,177
study,150143,150122,2067
study,150143,150123,331
study,150143,150125,58
study,150143,150126,1
study,150143,150127,1
study,150143,150128,280
study,150143,150129,12
study,150143,150130,776
study,150143,150131,636
study,150143,150132,574
study,150143,150133,5567
study,150143,150134,253
study,150143,150135,229
study,150143,150136,486
study,150143,150137,272
study,150143,150139,4
study,150143,150140,5710
study,150143,150141,635
study,150143,150142,4699
study,150143,150143,84454
work,150101,150101,71478
work,150101,150102,86
work,150101,150103,1781
work,150101,150104,424
work,150101,150105,2911
work,150101,150106,133
work,150101,150107,30
work,150101,150108,946
work,150101,150109,23
work,150101,150110,548
work,150101,150111,701
work,150101,150112,572
work,150101,150113,3834
work,150101,150114,1042
work,150101,150115,4677
work,150101,150116,2165
work,150101,150117,1244
work,150101,150118,445
work,150101,150119,460
work,150101,150120,1259
work,150101,150122,4079
work,150101,150123,81
work,150101,150124,30
work,150101,150125,369
work,150101,150126,17
work,150101,150127,11
work,150101,150128,878
work,150101,150129,16
work,150101,150130,1988
work,150101,150131,5764
work,150101,150132,1553
work,150101,150133,353
work,150101,150134,660
work,150101,150135,1812
work,150101,150136,2516
work,150101,150137,1018
work,150101,150138,3
work,150101,150139,8
work,150101,150140,2067
work,150101,150141,1139
work,150101,150142,389
work,150101,150143,172
work,150102,150101,1300
work,150102,150102,14358
work,150102,150103,172
work,150102,150104,56
work,150102,150105,129
work,150102,150106,200
work,150102,150107,6
work,150102,150108,146
work,150102,150109,8
work,150102,150110,526
work,150102,150111,54
work,150102,150112,288
work,150102,150113,190
work,150102,150114,133
work,150102,150115,339
work,150102,150116,113
work,150102,150117,1437
work,150102,150118,79
work,150102,150119,87
work,150102,150120,74
work,150102,150122,321
work,150102,150123,23
work,150102,150124,6
work,150102,150125,2290
work,150102,150126,5
work,150102,150128,132
work,150102,150129,4
work,150102,150130,156
work,150102,150131,426
work,150102,150132,240
work,150102,150133,73
work,150102,150134,56
work,150102,150135,587
work,150102,150136,139
work,150102,150137,163
work,150102,150138,1
work,150102,150139,144
work,150102,150140,267
work,150102,150141,82
work,150102,150142,119
work,150102,150143,33
work,150103,150101,10894
work,150103,150102,106
work,150103,150103,163275
work,150103,150104,353
work,150103,150105,1020
work,150103,150106,177
work,150103,150107,1370
work,150103,150108,1442
work,150103,150109,267
work,150103,150110,440
work,150103,150111,1717
work,150103,150112,363
work,150103,150113,1909
work,150103,150114,8959
work,150103,150115,12279
work,150103,150116,1433
work,150103,150117,877
work,150103,150118,6839
work,150103,150119,1414
work,150103,150120,679
work,150103,150122,3838
work,150103,150123,455
work,150103,150124,49
work,150103,150125,414
work,150103,150126,66
work,150103,150127,29
work,150103,150128,819
work,150103,150129,52
work,150103,150130,4013
work,150103,150131,5594
work,150103,150132,4038
work,150103,150133,826
work,150103,150134,3808
work,150103,150135,822
work,150103,150136,896
work,150103,150137,15043
work,150103,150138,6
work,150103,150139,12
work,150103,150140,5367
work,150103,150141,1477
work,150103,150142,1048
work,150103,150143,454
work,150104,150101,982
work,150104,150102,2
work,150104,150103,170
work,150104,150104,6353
work,150104,150105,88
work,150104,150106,9
work,150104,150107,3
work,150104,150108,847
work,150104,150109,3
work,150104,150110,27
work,150104,150111,20
work,150104,150112,33
work,150104,150113,351
work,150104,150114,250
work,150104,150115,322
work,150104,150116,240
work,150104,150117,63
work,150104,150118,35
work,150104,150119,109
work,150104,150120,199
work,150104,150122,2207
work,150104,150123,26
work,150104,150124,4
work,150104,150125,23
work,150104,150126,4
work,150104,150128,31
work,150104,150129,3
work,150104,150130,497
work,150104,150131,1686
work,150104,150132,74
work,150104,150133,139
work,150104,150134,58
work,150104,150135,54
work,150104,150136,173
work,150104,150137,54
work,150104,150140,1180
work,150104,150141,442
work,150104,150142,121
work,150104,150143,49
work,150105,150101,5842
work,150105,150102,21
work,150105,150103,600
work,150105,150104,165
work,150105,150105,15756
work,150105,150106,46
work,150105,150107,14
work,150105,150108,384
work,150105,150109,6
work,150105,150110,173
work,150105,150111,152
work,150105,150112,196
work,150105,150113,2209
work,150105,150114,328
work,150105,150115,1347
work,150105,150116,888
work,150105,150117,389
work,150105,150118,118
work,150105,150119,130
work,150105,150120,641
work,150105,150122,1812
work,150105,150123,23
work,150105,150124,5
work,150105,150125,127
work,150105,150126,7
work,150105,150127,3
work,150105,150128,271
work,150105,150129,7
work,150105,150130,774
work,150105,150131,2270
work,150105,150132,423
work,150105,150133,126
work,150105,150134,167
work,150105,150135,436
work,150105,150136,958
work,150105,150137,287
work,150105,150138,1
work,150105,150139,6
work,150105,150140,855
work,150105,150141,486
work,150105,150142,115
work,150105,150143,41
work,150106,150101,9311
work,150106,150102,479
work,150106,150103,1179
work,150106,150104,296
work,150106,150105,1078
work,150106,150106,68235
work,150106,150107,25
work,150106,150108,735
work,150106,150109,34
work,150106,150110,10125
work,150106,150111,308
work,150106,150112,2891
work,150106,150113,1437
work,150106,150114,847
work,150106,150115,2327
work,150106,150116,812
work,150106,150117,6560
work,150106,150118,526
work,150106,150119,454
work,150106,150120,584
work,150106,150122,2422
work,150106,150123,74
work,150106,150124,51
work,150106,150125,5867
work,150106,150126,35
work,150106,150127,13
work,150106,150128,979
work,150106,150129,22
work,150106,150130,1081
work,150106,150131,2950
work,150106,150132,1219
work,150106,150133,218
work,150106,150134,320
work,150106,150135,3504
work,150106,150136,1272
work,150106,150137,1006
work,150106,150138,3
work,150106,150139,58
work,150106,150140,1686
work,150106,150141,693
work,150106,150142,384
work,150106,150143,122
work,150107,150101,1066
work,150107,150102,13
work,150107,150103,2357
work,150107,150104,29
work,150107,150105,68
work,150107,150106,8
work,150107,150107,9012
work,150107,150108,87
work,150107,150109,3
work,150107,150110,15
work,150107,150111,70
work,150107,150112,18
work,150107,150113,140
work,150107,150114,450
work,150107,150115,251
work,150107,150116,92
work,150107,150117,52
work,150107,150118,1847
work,150107,150119,84
work,150107,150120,57
work,150107,150122,297
work,150107,150123,19
work,150107,150124,4
work,150107,150125,29
work,150107,150126,5
work,150107,150127,2
work,150107,150128,49
work,150107,150129,5
work,150107,150130,217
work,150107,150131,427
work,150107,150132,197
work,150107,150133,45
work,150107,150134,114
work,150107,150135,43
work,150107,150136,59
work,150107,150137,716
work,150107,150140,352
work,150107,150141,85
work,150107,150142,48
work,150107,150143,21
work,150108,150101,5958
work,150108,150102,69
work,150108,150103,1487
work,150108,150104,3283
work,150108,150105,584
work,150108,150106,80
work,150108,150107,32
work,150108,150108,81302
work,150108,150109,57
work,150108,150110,206
work,150108,150111,214
work,150108,150112,179
work,150108,150113,1876
work,150108,150114,1388
work,150108,150115,2258
work,150108,150116,1374
work,150108,150117,419
work,150108,150118,334
work,150108,150119,1689
work,150108,150120,755
work,150108,150122,9758
work,150108,150123,220
work,150108,150124,65
work,150108,150125,149
work,150108,150126,106
work,150108,150127,21
work,150108,150128,426
work,150108,150129,87
work,150108,150130,3335
work,150108,150131,7015
work,150108,150132,693
work,150108,150133,3108
work,150108,150134,535
work,150108,150135,355
work,150108,150136,698
work,150108,150137,710
work,150108,150138,4
work,150108,150139,6
work,150108,150140,6402
work,150108,150141,2819
work,150108,150142,2897
work,150108,150143,965
work,150109,150101,457
work,150109,150102,1
work,150109,150103,602
work,150109,150104,17
work,150109,150105,32
work,150109,150106,5
work,150109,150107,5
work,150109,150108,78
work,150109,150109,8238
work,150109,150110,21
work,150109,150111,38
work,150109,150112,13
work,150109,150113,75
work,150109,150114,1895
work,150109,150115,327
work,150109,150116,75
work,150109,150117,43
work,150109,150118,60
work,150109,150119,82
work,150109,150120,36
work,150109,150122,269
work,150109,150123,462
work,150109,150124,2
work,150109,150125,11
work,150109,150126,6
work,150109,150127,3
work,150109,150128,23
work,150109,150129,5
work,150109,150130,287
work,150109,150131,284
work,150109,150132,98
work,150109,150133,60
work,150109,150134,99
work,150109,150135,31
work,150109,150136,54
work,150109,150137,453
work,150109,150140,408
work,150109,150141,99
work,150109,150142,65
work,150109,150143,37
work,150110,150101,17707
work,150110,150102,580
work,150110,150103,2156
work,150110,150104,487
work,150110,150105,2116
work,150110,150106,5471
work,150110,150107,49
work,150110,150108,1404
work,150110,150109,61
work,150110,150110,115925
work,150110,150111,485
work,150110,150112,6141
work,150110,150113,3264
work,150110,150114,1374
work,150110,150115,4513
work,150110,150116,1858
work,150110,150117,11780
work,150110,150118,766
work,150110,150119,769
work,150110,150120,1157
work,150110,150122,4847
work,150110,150123,94
work,150110,150124,85
work,150110,150125,4191
work,150110,150126,49
work,150110,150127,13
work,150110,150128,1840
work,150110,150129,29
work,150110,150130,2224
work,150110,150131,6399
work,150110,150132,1896
work,150110,150133,402
work,150110,150134,633
work,150110,150135,6511
work,150110,150136,2386
work,150110,150137,1596
work,150110,150138,1
work,150110,150139,33
work,150110,150140,2773
work,150110,150141,1437
work,150110,150142,567
work,150110,150143,193
work,150111,150101,8565
work,150111,150102,60
work,150111,150103,4224
work,150111,150104,180
work,150111,150105,742
work,150111,150106,69
work,150111,150107,37
work,150111,150108,619
work,150111,150109,47
work,150111,150110,295
work,150111,150111,37535
work,150111,150112,262
work,150111,150113,1308
work,150111,150114,1468
work,150111,150115,10949
work,150111,150116,1089
work,150111,150117,564
work,150111,150118,860
work,150111,150119,424
work,150111,150120,411
work,150111,150122,1599
work,150111,150123,119
work,150111,150124,27
work,150111,150125,219
work,150111,150126,25
work,150111,150127,12
work,150111,150128,664
work,150111,150129,12
work,150111,150130,1467
work,150111,150131,2080
work,150111,150132,3987
work,150111,150133,412
work,150111,150134,1606
work,150111,150135,585
work,150111,150136,506
work,150111,150137,4263
work,150111,150138,1
work,150111,150139,8
work,150111,150140,1742
work,150111,150141,712
work,150111,150142,424
work,150111,150143,286
work,150112,150101,8255
work,150112,150102,142
work,150112,150103,1009
work,150112,150104,241
work,150112,150105,1186
work,150112,150106,585
work,150112,150107,14
work,150112,150108,694
work,150112,150109,17
work,150112,150110,2751
work,150112,150111,252
work,150112,150112,43143
work,150112,150113,1428
work,150112,150114,619
work,150112,150115,2512
work,150112,150116,828
work,150112,150117,4422
work,150112,150118,332
work,150112,150119,387
work,150112,150120,471
work,150112,150122,2335
work,150112,150123,54
work,150112,150124,24
work,150112,150125,1147
work,150112,150126,20
work,150112,150127,5
work,150112,150128,1443
work,150112,150129,8
work,150112,150130,1003
work,150112,150131,2832
work,150112,150132,997
work,150112,150133,191
work,150112,150134,330
work,150112,150135,3964
work,150112,150136,936
work,150112,150137,895
work,150112,150138,1
work,150112,150139,12
work,150112,150140,1259
work,150112,150141,657
work,150112,150142,270
work,150112,150143,97
work,150113,150101,3929
work,150113,150102,17
work,150113,150103,463
work,150113,150104,179
work,150113,150105,894
work,150113,150106,35
work,150113,150107,9
work,150113,150108,401
work,150113,150109,14
work,150113,150110,120
work,150113,150111,131
work,150113,150112,136
work,150113,150113,12742
work,150113,150114,515
work,150113,150115,1196
work,150113,150116,916
work,150113,150117,254
work,150113,150118,95
work,150113,150119,136
work,150113,150120,729
work,150113,150122,2362
work,150113,150123,27
work,150113,150124,9
work,150113,150125,65
work,150113,150126,10
work,150113,150127,1
work,150113,150128,184
work,150113,150129,2
work,150113,150130,995
work,150113,150131,3627
work,150113,150132,290
work,150113,150133,122
work,150113,150134,150
work,150113,150135,332
work,150113,150136,876
work,150113,150137,160
work,150113,150139,2
work,150113,150140,1090
work,150113,150141,509
work,150113,150142,113
work,150113,150143,56
work,150114,150101,3752
work,150114,150102,34
work,150114,150103,3757
work,150114,150104,229
work,150114,150105,372
work,150114,150106,44
work,150114,150107,46
work,150114,150108,799
work,150114,150109,171
work,150114,150110,150
work,150114,150111,363
work,150114,150112,146
work,150114,150113,1384
work,150114,150114,24704
work,150114,150115,2199
work,150114,150116,808
work,150114,150117,348
work,150114,150118,428
work,150114,150119,455
work,150114,150120,506
work,150114,150122,3267
work,150114,150123,396
work,150114,150124,20
work,150114,150125,137
work,150114,150126,23
work,150114,150127,13
work,150114,150128,230
work,150114,150129,17
work,150114,150130,2513
work,150114,150131,5933
work,150114,150132,743
work,150114,150133,338
work,150114,150134,559
work,150114,150135,416
work,150114,150136,537
work,150114,150137,1436
work,150114,150138,5
work,150114,150139,1
work,150114,150140,4343
work,150114,150141,991
work,150114,150142,355
work,150114,150143,165
work,150115,150101,5669
work,150115,150102,23
work,150115,150103,1583
work,150115,150104,220
work,150115,150105,684
work,150115,150106,52
work,150115,150107,24
work,150115,150108,580
work,150115,150109,31
work,150115,150110,158
work,150115,150111,415
work,150115,150112,151
work,150115,150113,1630
work,150115,150114,892
work,150115,150115,52144
work,150115,150116,1718
work,150115,150117,327
work,150115,150118,218
work,150115,150119,212
work,150115,150120,460
work,150115,150122,2167
work,150115,150123,65
work,150115,150124,13
work,150115,150125,117
work,150115,150126,14
work,150115,150127,4
work,150115,150128,347
work,150115,150129,4
work,150115,150130,2052
work,150115,150131,3127
work,150115,150132,798
work,150115,150133,275
work,150115,150134,1272
work,150115,150135,348
work,150115,150136,572
work,150115,150137,1108
work,150115,150138,3
work,150115,150139,1
work,150115,150140,1554
work,150115,150141,900
work,150115,150142,285
work,150115,150143,170
work,150116,150101,2268
work,150116,150102,11
work,150116,150103,403
work,150116,150104,158
work,150116,150105,292
work,150116,150106,14
work,150116,150107,7
work,150116,150108,304
work,150116,150109,5
work,150116,150110,61
work,150116,150111,72
work,150116,150112,63
work,150116,150113,1626
work,150116,150114,417
work,150116,150115,1087
work,150116,150116,10512
work,150116,150117,152
work,150116,150118,73
work,150116,150119,94
work,150116,150120,330
work,150116,150122,1773
work,150116,150123,21
work,150116,150124,5
work,150116,150125,47
work,150116,150126,8
work,150116,150127,2
work,150116,150128,130
work,150116,150129,4
work,150116,150130,806
work,150116,150131,3061
work,150116,150132,202
work,150116,150133,99
work,150116,150134,160
work,150116,150135,168
work,150116,150136,414
work,150116,150137,128
work,150116,150139,1
work,150116,150140,856
work,150116,150141,455
work,150116,150142,108
work,150116,150143,44
work,150117,150101,12784
work,150117,150102,402
work,150117,150103,1696
work,150117,150104,402
work,150117,150105,1464
work,150117,150106,934
work,150117,150107,40
work,150117,150108,969
work,150117,150109,30
work,150117,150110,4583
work,150117,150111,404
work,150117,150112,4441
work,150117,150113,2707
work,150117,150114,1099
work,150117,150115,3361
work,150117,150116,1378
work,150117,150117,67329
work,150117,150118,573
work,150117,150119,568
work,150117,150120,955
work,150117,150122,3822
work,150117,150123,75
work,150117,150124,45
work,150117,150125,3122
work,150117,150126,35
work,150117,150127,12
work,150117,150128,1427
work,150117,150129,22
work,150117,150130,1893
work,150117,150131,5704
work,150117,150132,1386
work,150117,150133,341
work,150117,150134,464
work,150117,150135,7940
work,150117,150136,2260
work,150117,150137,1236
work,150117,150138,1
work,150117,150139,33
work,150117,150140,2344
work,150117,150141,1155
work,150117,150142,408
work,150117,150143,162
work,150118,150101,3653
work,150118,150102,40
work,150118,150103,9073
work,150118,150104,90
work,150118,150105,231
work,150118,150106,57
work,150118,150107,2090
work,150118,150108,376
work,150118,150109,77
work,150118,150110,141
work,150118,150111,494
work,150118,150112,96
work,150118,150113,456
work,150118,150114,1500
work,150118,150115,2147
work,150118,150116,265
work,150118,150117,269
work,150118,150118,65270
work,150118,150119,367
work,150118,150120,155
work,150118,150122,884
work,150118,150123,90
work,150118,150124,27
work,150118,150125,144
work,150118,150126,21
work,150118,150127,7
work,150118,150128,274
work,150118,150129,14
work,150118,150130,702
work,150118,150131,1143
work,150118,150132,2022
work,150118,150133,205
work,150118,150134,543
work,150118,150135,225
work,150118,150136,224
work,150118,150137,3823
work,150118,150138,4
work,150118,150139,3
work,150118,150140,1132
work,150118,150141,294
work,150118,150142,285
work,150118,150143,104
work,150119,150101,824
work,150119,150102,6
work,150119,150103,249
work,150119,150104,92
work,150119,150105,62
work,150119,150106,12
work,150119,150107,10
work,150119,150108,705
work,150119,150109,13
work,150119,150110,26
work,150119,150111,51
work,150119,150112,16
work,150119,150113,127
work,150119,150114,268
work,150119,150115,398
work,150119,150116,116
work,150119,150117,70
work,150119,150118,71
work,150119,150119,27435
work,150119,150120,56
work,150119,150122,648
work,150119,150123,832
work,150119,150124,80
work,150119,150125,33
work,150119,150126,527
work,150119,150127,156
work,150119,150128,85
work,150119,150129,173
work,150119,150130,401
work,150119,150131,532
work,150119,150132,152
work,150119,150133,671
work,150119,150134,142
work,150119,150135,42
work,150119,150136,67
work,150119,150137,147
work,150119,150138,16
work,150119,150139,3
work,150119,150140,1019
work,150119,150141,288
work,150119,150142,1912
work,150119,150143,930
work,150120,150101,2422
work,150120,150102,11
work,150120,150103,360
work,150120,150104,179
work,150120,150105,469
work,150120,150106,17
work,150120,150107,8
work,150120,150108,323
work,150120,150109,10
work,150120,150110,65
work,150120,150111,58
work,150120,150112,90
work,150120,150113,1645
