type,origin,destination,weight
total,150114,150101,4730
total,150114,150102,34
total,150114,150103,5790
total,150114,150104,354
total,150114,150105,473
total,150114,150106,48
total,150114,150107,58
total,150114,150108,1240
total,150114,150109,294
total,150114,150110,166
total,150114,150111,406
total,150114,150112,184
total,150114,150113,2247
total,150114,150114,48305
total,150114,150115,2323
total,150114,150116,1285
total,150114,150117,459
total,150114,150118,515
total,150114,150119,464
total,150114,150120,616
total,150114,150122,4299
total,150114,150123,637
total,150114,150124,20
total,150114,150125,146
total,150114,150126,23
total,150114,150127,14
total,150114,150128,332
total,150114,150129,17
total,150114,150130,3237
total,150114,150131,6666
total,150114,150132,835
total,150114,150133,366
total,150114,150134,691
total,150114,150135,624
total,150114,150136,1297
total,150114,150137,1947
total,150114,150138,5
total,150114,150139,1
total,150114,150140,10247
total,150114,150141,1154
total,150114,150142,471
total,150114,150143,183
total,150115,150101,9407
total,150115,150102,24
total,150115,150103,1857
total,150115,150104,302
total,150115,150105,1485
total,150115,150106,55
total,150115,150107,34
total,150115,150108,759
total,150115,150109,32
total,150115,150110,197
total,150115,150111,680
total,150115,150112,260
total,150115,150113,3217
total,150115,150114,1872
total,150115,150115,75948
total,150115,150116,4314
total,150115,150117,654
total,150115,150118,283
total,150115,150119,225
total,150115,150120,657
total,150115,150122,2772
total,150115,150123,100
total,150115,150124,13
total,150115,150125,158
total,150115,150126,14
total,150115,150127,4
total,150115,150128,535
total,150115,150129,6
total,150115,150130,2983
total,150115,150131,4214
total,150115,150132,1204
total,150115,150133,312
total,150115,150134,2958
total,150115,150135,507
total,150115,150136,1166
total,150115,150137,1422
total,150115,150138,3
total,150115,150139,1
total,150115,150140,2720
total,150115,150141,1147
total,150115,150142,368
total,150115,150143,211
total,150116,150101,3442
total,150116,150102,12
total,150116,150103,423
total,150116,150104,206
total,150116,150105,551
total,150116,150106,16
total,150116,150107,14
total,150116,150108,448
total,150116,150109,5
total,150116,150110,68
total,150116,150111,101
total,150116,150112,101
total,150116,150113,2811
total,150116,150114,895
total,150116,150115,1389
total,150116,150116,16121
total,150116,150117,252
total,150116,150118,88
total,150116,150119,98
total,150116,150120,499
total,150116,150122,2278
total,150116,150123,36
total,150116,150124,6
total,150116,150125,50
total,150116,150126,8
total,150116,150127,2
total,150116,150128,193
total,150116,150129,5
total,150116,150130,958
total,150116,150131,4480
total,150116,150132,239
total,150116,150133,109
total,150116,150134,195
total,150116,150135,252
total,150116,150136,912
total,150116,150137,200
total,150116,150139,1
total,150116,150140,1452
total,150116,150141,579
total,150116,150142,141
total,150116,150143,49
total,150117,150101,16956
total,150117,150102,443
total,150117,150103,1762
total,150117,150104,472
total,150117,150105,2032
total,150117,150106,1043
total,150117,150107,53
total,150117,150108,1245
total,150117,150109,30
total,150117,150110,6719
total,150117,150111,547
total,150117,150112,7384
total,150117,150113,4021
total,150117,150114,2249
total,150117,150115,3584
total,150117,150116,2026
total,150117,150117,131976
total,150117,150118,697
total,150117,150119,584
total,150117,150120,1227
total,150117,150122,4460
total,150117,150123,111
total,150117,150124,45
total,150117,150125,3509
total,150117,150126,35
total,150117,150127,12
total,150117,150128,2142
total,150117,150129,26
total,150117,150130,2145
total,150117,150131,6691
total,150117,150132,1519
total,150117,150133,356
total,150117,150134,519
total,150117,150135,12165
total,150117,150136,4550
total,150117,150137,1583
total,150117,150138,1
total,150117,150139,34
total,150117,150140,3763
total,150117,150141,1415
total,150117,150142,467
total,150117,150143,175
total,150118,150101,6201
total,150118,150102,46
total,150118,150103,14922
total,150118,150104,149
total,150118,150105,433
total,150118,150106,61
total,150118,150107,3848
total,150118,150108,490
total,150118,150109,81
total,150118,150110,189
total,150118,150111,642
total,150118,150112,450
total,150118,150113,880
total,150118,150114,2668
total,150118,150115,2403
total,150118,150116,676
total,150118,150117,707
total,150118,150118,115974
total,150118,150119,381
total,150118,150120,232
total,150118,150122,1092
total,150118,150123,109
total,150118,150124,28
total,150118,150125,182
total,150118,150126,21
total,150118,150127,7
total,150118,150128,480
total,150118,150129,17
total,150118,150130,901
total,150118,150131,1402
total,150118,150132,3535
total,150118,150133,235
total,150118,150134,618
total,150118,150135,400
total,150118,150136,497
total,150118,150137,4566
total,150118,150138,4
total,150118,150139,3
total,150118,150140,1824
total,150118,150141,373
total,150118,150142,365
total,150118,150143,124
total,150119,150101,1634
total,150119,150102,7
total,150119,150103,280
total,150119,150104,111
total,150119,150105,134
total,150119,150106,14
total,150119,150107,14
total,150119,150108,1067
total,150119,150109,20
total,150119,150110,31
total,150119,150111,71
total,150119,150112,56
total,150119,150113,273
total,150119,150114,436
total,150119,150115,460
total,150119,150116,284
total,150119,150117,174
total,150119,150118,103
total,150119,150119,44669
total,150119,150120,74
total,150119,150122,889
total,150119,150123,1601
total,150119,150124,82
total,150119,150125,42
total,150119,150126,550
total,150119,150127,190
total,150119,150128,121
total,150119,150129,209
total,150119,150130,501
total,150119,150131,633
total,150119,150132,204
total,150119,150133,1019
total,150119,150134,199
total,150119,150135,76
total,150119,150136,133
total,150119,150137,190
total,150119,150138,16
total,150119,150139,6
total,150119,150140,1987
total,150119,150141,349
total,150119,150142,3693
total,150119,150143,2150
total,150120,150101,3300
total,150120,150102,11
total,150120,150103,366
total,150120,150104,223
total,150120,150105,865
total,150120,150106,17
total,150120,150107,9
total,150120,150108,497
total,150120,150109,10
total,150120,150110,72
total,150120,150111,80
total,150120,150112,114
total,150120,150113,2893
total,150120,150114,904
total,150120,150115,744
total,150120,150116,782
total,150120,150117,287
total,150120,150118,77
total,150120,150119,131
total,150120,150120,14864
total,150120,150122,3175
total,150120,150123,46
total,150120,150124,3
total,150120,150125,64
total,150120,150126,7
total,150120,150127,2
total,150120,150128,173
total,150120,150129,3
total,150120,150130,970
total,150120,150131,5395
total,150120,150132,181
total,150120,150133,98
total,150120,150134,111
total,150120,150135,307
total,150120,150136,3355
total,150120,150137,207
total,150120,150139,1
total,150120,150140,1756
total,150120,150141,593
total,150120,150142,148
total,150120,150143,43
total,150122,150101,2991
total,150122,150102,10
total,150122,150103,680
total,150122,150104,1254
total,150122,150105,329
total,150122,150106,8
total,150122,150107,17
total,150122,150108,1857
total,150122,150109,12
total,150122,150110,86
total,150122,150111,84
total,150122,150112,82
total,150122,150113,2015
total,150122,150114,1986
total,150122,150115,992
total,150122,150116,880
total,150122,150117,206
total,150122,150118,107
total,150122,150119,287
total,150122,150120,966
total,150122,150122,32240
total,150122,150123,121
total,150122,150124,8
total,150122,150125,44
total,150122,150126,29
total,150122,150127,7
total,150122,150128,143
total,150122,150129,4
total,150122,150130,1774
total,150122,150131,9628
total,150122,150132,174
total,150122,150133,170
total,150122,150134,189
total,150122,150135,315
total,150122,150136,1633
total,150122,150137,216
total,150122,150138,2
total,150122,150139,1
total,150122,150140,5420
total,150122,150141,1733
total,150122,150142,357
total,150122,150143,92
total,150123,150101,2324
total,150123,150102,17
total,150123,150103,2621
total,150123,150104,125
total,150123,150105,185
total,150123,150106,29
total,150123,150107,39
total,150123,150108,514
total,150123,150109,919
total,150123,150110,79
total,150123,150111,242
total,150123,150112,124
total,150123,150113,422
total,150123,150114,11284
total,150123,150115,1624
total,150123,150116,689
total,150123,150117,245
total,150123,150118,319
total,150123,150119,1765
total,150123,150120,176
total,150123,150122,1014
total,150123,150123,45746
total,150123,150124,23
total,150123,150125,74
total,150123,150126,100
total,150123,150127,22
total,150123,150128,164
total,150123,150129,40
total,150123,150130,1234
total,150123,150131,1165
total,150123,150132,559
total,150123,150133,418
total,150123,150134,521
total,150123,150135,157
total,150123,150136,297
total,150123,150137,1815
total,150123,150138,1
total,150123,150139,2
total,150123,150140,2088
total,150123,150141,330
total,150123,150142,724
total,150123,150143,333
total,150124,150101,272
total,150124,150102,4
total,150124,150103,29
total,150124,150104,14
total,150124,150105,25
total,150124,150107,2
total,150124,150108,79
total,150124,150109,5
total,150124,150110,6
total,150124,150111,9
total,150124,150112,10
total,150124,150113,32
total,150124,150114,39
total,150124,150115,32
total,150124,150116,42
total,150124,150117,25
total,150124,150118,11
total,150124,150119,311
total,150124,150120,5
total,150124,150122,64
total,150124,150123,40
total,150124,150124,7596
total,150124,150125,8
total,150124,150126,66
total,150124,150127,88
total,150124,150128,6
total,150124,150129,201
total,150124,150130,33
total,150124,150131,49
total,150124,150132,32
total,150124,150133,66
total,150124,150134,21
total,150124,150135,14
total,150124,150136,11
total,150124,150137,26
total,150124,150138,5
total,150124,150140,148
total,150124,150141,17
total,150124,150142,147
total,150124,150143,28
total,150125,150101,10050
total,150125,150102,1760
total,150125,150103,1144
total,150125,150104,288
total,150125,150105,1209
total,150125,150106,2088
total,150125,150107,42
total,150125,150108,739
total,150125,150109,41
total,150125,150110,6414
total,150125,150111,354
total,150125,150112,4218
total,150125,150113,1872
total,150125,150114,1095
total,150125,150115,2518
total,150125,150116,1088
total,150125,150117,22753
total,150125,150118,598
total,150125,150119,507
total,150125,150120,610
total,150125,150122,2306
total,150125,150123,98
total,150125,150124,41
total,150125,150125,145948
total,150125,150126,43
total,150125,150127,6
