ubigeo,district,population_permanent,total_centrality_strength_intra,study_centrality_strength_intra,work_centrality_strength_intra,total_centrality_degree_in,study_centrality_degree_in,work_centrality_degree_in,total_centrality_degree_out,study_centrality_degree_out,work_centrality_degree_out,total_centrality_degree_all,study_centrality_degree_all,work_centrality_degree_all,total_centrality_strength_in,study_centrality_strength_in,work_centrality_strength_in,total_centrality_strength_out,study_centrality_strength_out,work_centrality_strength_out,total_centrality_strength_all,study_centrality_strength_all,work_centrality_strength_all,total_centrality_closeness_in,study_centrality_closeness_in,work_centrality_closeness_in,total_centrality_closeness_out,study_centrality_closeness_out,work_centrality_closeness_out,total_centrality_closeness_all,study_centrality_closeness_all,work_centrality_closeness_all,total_centrality_betweenness_weighted,study_centrality_betweenness_weighted,work_centrality_betweenness_weighted,total_centrality_eigenvector_weighted,study_centrality_eigenvector_weighted,work_centrality_eigenvector_weighted,total_centrality_pagerank_weighted,study_centrality_pagerank_weighted,work_centrality_pagerank_weighted,total_structural_eccentricity_in,study_structural_eccentricity_in,work_structural_eccentricity_in,total_structural_eccentricity_out,study_structural_eccentricity_out,work_structural_eccentricity_out,total_structural_eccentricity_all,study_structural_eccentricity_all,work_structural_eccentricity_all,total_structural_transitivity_local,study_structural_transitivity_local,work_structural_transitivity_local,total_structural_transitivity_weighted,study_structural_transitivity_weighted,work_structural_transitivity_weighted,total_structural_knn_outout,study_structural_knn_outout,work_structural_knn_outout,total_structural_knn_outin,study_structural_knn_outin,work_structural_knn_outin,total_structural_knn_inout,study_structural_knn_inout,work_structural_knn_inout,total_structural_knn_inin,study_structural_knn_inin,work_structural_knn_inin,total_structural_constraint_weighted,study_structural_constraint_weighted,work_structural_constraint_weighted
150110,COMAS,504617,205037,108039,101013,0.9795918367346939,0.9183673469387755,0.9795918367346939,1,0.9183673469387755,1,1.9795918367346939,1.836734693877551,1.9795918367346939,51963,17648,34945,150068,45928,106765,202031,63576,141710,971.10505219485,376.6749600992082,593.3220511429614,740.4601542294913,105.96108694233584,554.7514757362163,1571.7573276329788,649.3572223091236,1082.6405050945637,0.023809523809523808,0.0391156462585034,0.036564625850340135,0.4351087892371057,0.4485441118885039,0.414056377371245,0.018411275201463757,0.02082025460005666,0.01693816956766538,2,2,2,1,2,1,1,2,1,0.9931972789115647,0.9824236817761332,0.9914965986394558,0.9982655302074104,0.9958827093625705,0.9978327217556983,48.583095663299304,43.66356035533879,48.51789444106215,48.587506996828104,48.0271947395924,48.53857537582541,48.7862710005196,45.56402991840435,48.73541279152955,47.13723226141678,44.5231754306437,47.21138932608385,0.19897787243692325,0.296469113946597,0.17863115853618677
150111,EL AGUSTINO,191624,62587,31309,32132,1,0.9795918367346939,0.9591836734693877,1,0.9387755102040817,1,2,1.9183673469387754,1.9591836734693877,21541,6121,15596,77873,26629,52405,99414,32750,68001,799.235793535794,334.7777303016832,522.7869068965778,733.1128085048506,105.99980413078904,535.3456253224883,1501.9423208441979,632.3945813667195,1020.4007463669493,0,0,0,0.6380491384535293,0.5297546192604448,0.36472346748980466,0.022940997019199407,0.022471093404699646,0.01564065062600209,1,2,2,1,2,1,1,2,1,0.9931972789115647,0.972517730496454,0.9914965986394558,0.9994557691404966,0.9984869254507065,0.9976446424807478,48.515082249303354,43.77148972924255,48.50552428203416,48.85083405031269,48.41345901085283,48.755233279267244,48.64927347848289,44.75526874693678,48.6122723775327,48.55693793231512,47.446168926645974,48.41574762759682,0.1999442209576955,0.2297760423071407,0.19886407222532962
150112,INDEPENDENCIA,204990,77061,41934,36698,0.9795918367346939,0.9387755102040817,0.9795918367346939,1,0.8775510204081632,1,1.9795918367346939,1.816326530612245,1.9795918367346939,53511,24324,30198,65914,20018,46853,119425,44342,77051,1024.4694085678125,398.46692916074096,610.2981950293442,704.3421059392911,104.1146884212063,514.7086553583388,1459.6720838063331,609.5580434057686,1005.5856615989452,0,0,0,0.18906021792629427,0.1925003070801276,0.3331187549453934,0.010867959231834472,0.010777627442956635,0.015676566331147078,2,2,2,1,2,1,1,2,1,0.9931972789115647,0.9824236817761332,0.9914965986394558,0.9981812155467169,0.997656064620254,0.9979564401067691,48.569681706466,43.73304026376261,48.50878278872217,48.781032861000696,48.37516235388151,48.705781913644806,48.80353572162733,45.011470152935374,48.77872706801775,48.03718861542487,46.051800690675876,47.99069474799656,0.2154899444253331,0.28975972839062264,0.1956282645687489
150113,JESUS MARIA,69031,18940,8135,11388,1,0.9795918367346939,1,0.9591836734693877,0.8571428571428571,0.9591836734693877,1.9591836734693877,1.836734693877551,1.9591836734693877,109141,45320,66044,34968,13041,22673,144109,58361,88717,1257.7449964611906,522.608824975808,721.5575061179907,616.0544842869629,99.16904609957281,448.8583424642439,1415.2111854383875,593.3873280223016,957.8921784695,0,0,0,0.06684999730419629,0.042415137708011384,0.084636318290322,0.0053505548250342315,0.0045698554671727235,0.00598750321177205,1,2,1,2,2,2,1,2,1,0.9931972789115647,0.972517730496454,0.9914965986394558,0.9989492906989386,0.9964950362144349,0.9984729063576692,48.22157401052391,41.95383789586688,48.219688616416,48.943405399222144,48.78360555172149,48.87010982225554,48.56026607782593,43.799249779346866,48.5205771909636,48.610723742681486,47.611297440423655,48.45820967839622,0.14374746206147793,0.1455806128853045,0.14648814633910257
150114,LA MOLINA,134095,46240,25217,22421,1,1,1,1,0.8367346938775511,1,2,1.836734693877551,2,111101,53164,59866,55946,17773,39110,167047,70937,98976,1179.7810010038788,509.7228828212391,659.5379056952136,704.7241702051048,103.88170005437154,507.49652395537413,1492.0324351366887,645.0983959225125,987.6183696802834,0.08801020408163265,0.1288265306122449,0.03784013605442177,0.04461484046162919,0.04638160904077494,0.0845378655319189,0.0048343562886117965,0.004694396405663024,0.0059581776985877365,1,1,1,1,2,1,1,1,1,0.9931972789115647,0.951530612244898,0.9914965986394558,0.9990267210226264,0.9916516298499608,0.9979151090500054,48.137507596611016,43.20784335790243,48.11973919713628,48.90730347120437,48.56585832442469,48.82648938890309,48.36201294317783,43.78882326386277,48.22069288076705,48.658634935779155,47.52601384395456,48.443807837503755,0.15550294999593517,0.17429209893664166,0.15093456224931337
150115,LA VICTORIA,166465,70593,25263,46560,1,1,1,1,0.8775510204081632,1,2,1.8775510204081634,2,138295,12999,125984,50179,20550,30493,188474,33549,156477,1254.0004656315052,378.66244235259063,780.471765065533,659.9021640011915,102.0502881715201,469.17649507599145,1559.857876167496,600.1357274214803,1099.7383200626205,0.02295918367346939,0.010629251700680272,0.01403061224489796,0.10726216503567444,0.21094584513356168,0.13766613309861495,0.006138600993740094,0.010422096918695958,0.006787599126790071,1,1,1,1,2,1,1,1,1,0.9931972789115647,0.951530612244898,0.9914965986394558,0.9990923814425332,0.9909150297574691,0.9980767940336279,48.125470814484146,42.47639902676399,48.15734758797101,48.92008609179139,48.52170316301703,48.816810415505195,48.63260421562602,44.41087775982768,48.58766192532385,48.62618315918869,47.31271636279714,48.36245078740158,0.15765178865549384,0.16763213303123195,0.16092617029366213
150116,LINCE,52055,14990,6151,9213,1,1,1,0.9591836734693877,0.8775510204081632,0.9591836734693877,1.9591836734693877,1.8775510204081634,1.9591836734693877,70949,32377,39594,24465,8678,16360,95414,41055,55954,1107.2536895898502,468.264132118044,629.5882564848622,581.9844883251503,97.32336742841584,413.6359838947427,1346.853450045852,571.496397892106,894.1379874258184,0,0,0,0.0805849180426921,0.06383141676460109,0.321740574117165,0.005908103854999506,0.005323147631667237,0.01239265642914917,1,1,1,2,2,2,1,1,1,0.9931972789115647,0.951530612244898,0.9914965986394558,0.9988235479070158,0.989174582876629,0.9984004718161347,48.07210300429185,41.994468771606364,48.065342298288506,48.95086858777846,48.67273565337636,48.902750611246944,48.579839039309924,44.23195478271612,48.51914431479517,48.59575187810963,47.495351638508815,48.43690963277264,0.14418135655990796,0.1460299287815326,0.1463839506551999
150117,LOS OLIVOS,313849,124957,69774,59430,1,1,1,1,0.8979591836734694,1,2,1.8979591836734695,2,161929,98284,68126,108627,30173,80126,270556,128457,148252,1109.5160253330669,452.0369768634048,651.9827202894811,743.0794486136905,105.72512923149965,554.0795349236425,1587.227257714766,670.9487298247171,1071.7195969006125,0.06930272108843537,0.2108843537414966,0.044642857142857144,0.17392683585080948,0.1332535037219075,0.32194209350137093,0.008087555397784408,0.007433216708616013,0.012153807295093926,1,1,1,1,2,1,1,1,1,0.9931972789115647,0.951530612244898,0.9914965986394558,0.997156780851284,0.971848069782106,0.9971204716743562,48.50883297890948,43.28568587810294,48.466540199186284,48.677778084638256,47.88688562622212,48.613695928911966,48.74908756306777,44.98991697529608,48.68897337286792,47.765860346201116,45.40543730413903,47.64176672635998,0.19944375237840037,0.22487335415611814,0.1844721018616393
150118,LURIGANCHO (CHOSICA),230013,108970,54038,57725,0.9795918367346939,0.9183673469387755,0.9795918367346939,1,0.8775510204081632,1,1.9795918367346939,1.7959183673469388,1.9795918367346939,32998,8720,24554,51954,19896,33032,84952,28616,57586,956.1990338302675,368.9863360526057,612.8764075822826,719.1735458371297,105.22492580647942,524.8498098076371,1428.3618865573394,606.8733359707036,956.6177879581614,0,0.02040816326530612,0.02040816326530612,0.21041359536958618,0.1734704798458163,0.20241946767293503,0.011765734899871831,0.01031661187059068,0.010676383410885741,2,2,2,1,2,1,1,2,1,0.9931972789115647,0.9855072463768116,0.9914965986394558,0.9994222227453935,0.9969667318982387,0.9975731948737541,48.424125187666014,43.6455066344994,48.396918139985466,48.865361666089235,47.83604744672296,48.68660692661661,48.48202921389175,43.9118119266055,48.52525046835546,48.66013091702528,46.637844036697246,48.47051396921072,0.23709561748182914,0.2800000679569125,0.2273106073503625
150119,LURIN,85227,41816,18164,24373,1,0.9591836734693877,1,0.9795918367346939,0.9387755102040817,0.9795918367346939,1.9795918367346939,1.8979591836734695,1.9795918367346939,34373,3222,31240,19986,8458,11796,54359,11680,43036,873.1432265230911,272.7198434668852,552.6549548299139,649.1024225965793,103.54902253185817,444.9143649989768,1290.6400701841767,486.71050154075334,910.1221220093314,0.20875850340136054,0.1526360544217687,0.18112244897959184,0.04716899803265303,0.9223964060254299,0.05168106875859073,0.005653985064144787,0.04397032928476575,0.005632172885011054,1,2,1,2,2,2,1,2,1,0.9931972789115647,0.9547872340425532,0.9914965986394558,0.9986731727956732,0.9866984844068785,0.9979537480249093,48.2492744921445,44.280326318278554,48.03585961342828,48.758731111778246,48.18349491605581,48.59367582231265,48.33311029005324,43.45810055865922,48.22749679897567,48.45905216303494,37.48913718187461,48.25310499359795,0.17766906980527244,0.23650820607067322,0.16795374057990442
150120,MAGDALENA DEL MAR,57535,13950,5844,8404,1,0.9795918367346939,1,0.9795918367346939,0.7959183673469388,0.9795918367346939,1.9795918367346939,1.7755102040816326,1.9795918367346939,39540,11680,28143,30604,11371,19816,70144,23051,47959,1009.9169405709607,445.4997983927601,563.2635154186053,596.5774824767292,98.85465014757848,427.5869274106039,1218.2727728743955,499.47583372612047,844.1925540782016,0,0,0,0.3335765549385271,0.2047416397625409,0.36643533765131564,0.013403323398332058,0.010181808889455383,0.014282076125427298,1,2,1,2,2,2,1,2,1,0.9931972789115647,0.972517730496454,0.9914965986394558,0.9991674864089112,0.9972558535790665,0.9985869006164988,48.07959743824337,41.79693958315012,48.049152200242226,48.94314468696902,48.75630991117756,48.87666532095277,48.544436014162876,43.07183219178082,48.47880467611839,48.551213960546285,47.68202054794521,48.39441424155207,0.1560452696129833,0.19119281733796842,0.1512822197689989
150121,PUEBLO LIBRE,79211,18229,8737,9957,1,1,0.9795918367346939,0.9795918367346939,0.8571428571428571,0.9795918367346939,1.9795918367346939,1.8571428571428572,1.9591836734693877,50270,26695,24209,43255,15950,28215,93525,42645,52424,1123.6637776487348,504.8454708968493,585.5008748233788,627.7790745833288,100.21221165734131,456.78217362907833,1322.950164431816,567.8573660938665,915.3158825836531,0,0,0,0.15703960303116773,0.11890625544261922,0.17591220950177994,0.008662654749772751,0.007196007927208657,0.010133023080713946,1,1,2,2,2,2,1,1,1,0.9931972789115647,0.951530612244898,0.9914965986394558,0.9991339214113873,0.9878971743463477,0.9986961283635993,48.178407120564096,41.78702194357367,48.14502923976608,48.939012830886604,48.59335423197492,48.90026581605529,48.60475432663616,43.472522944371605,48.57309265149325,48.56363636363636,47.53646750327777,48.39683588747986,0.15868291110269106,0.17263976569815082,0.15805788011501604
150122,MIRAFLORES,92749,30383,9965,21532,1,1,1,0.9795918367346939,0.8163265306122449,0.9795918367346939,1.9795918367346939,1.816326530612245,1.9795918367346939,175504,41076,137835,38263,12682,26163,213767,53758,163998,1352.6974722338114,506.61775351595156,813.6835728989472,648.2616840501801,101.59786091684788,457.80468182650844,1513.3560762624124,591.902698853234,1065.3527512845399,0.02891156462585034,4.2517006802721087e-4,0.025510204081632654,0.029583531058437137,0.05420415293169151,0.03784425184211106,0.004169627578587972,0.005060257128405904,0.004338910150848852,1,1,1,2,2,2,1,1,1,0.9931972789115647,0.951530612244898,0.9914965986394558,0.9991846652352016,0.9923914425139824,0.9987108582624992,47.905914329770276,42.215975398202175,47.88900355463823,48.96273162062567,48.77188140671819,48.92466460268318,48.396606345154524,43.57403349888013,48.33664163673958,48.671261053879114,48.0255136819554,48.5105669822614,0.14821010183401767,0.1872725732631944,0.14207432072853488
150123,PACHACAMAC,106010,42834,24473,19067,1,1,1,0.9795918367346939,0.8775510204081632,0.9591836734693877,1.9795918367346939,1.8775510204081634,1.9591836734693877,10706,4271,6519,34142,10725,23851,44848,14996,30370,565.4878173881424,206.58812164222704,326.6081946211204,690.3913055904728,102.54301021979342,505.46289794523886,1315.3061250848755,550.7314156672386,872.6723979279452,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.20934243771510394,0.40575675228145225,0.4095053076898058,0.015341743666491233,0.019564927503343245,0.024064488153722655,1,1,1,2,2,2,1,1,1,0.9931972789115647,0.951530612244898,0.9914965986394558,0.9986235915388274,0.9886428047479328,0.997846010317199,48.46447191142874,42.77855477855478,48.42610372730703,48.847812078964324,48.10638694638695,48.754517630288035,48.07126844759948,43.75415593537813,48.190673416168124,48.42863814683355,43.81058300163896,48.30664212302501,0.20091665542349926,0.21883637172906345,0.19798766891234873
150124,PUCUSANA,14151,7036,3223,3906,1,0.2857142857142857,1,0.9183673469387755,0.8571428571428571,0.8979591836734694,1.9183673469387754,1.1428571428571428,1.8979591836734695,1525,32,1494,2027,933,1126,3552,965,2620,118.9109024869284,6.8828072386656025,110.67661585533106,217.09477562690557,81.13187208664156,151.66929077244532,247.84619215128444,123.58775463843455,180.78946040791195,0,0,0,0.6579157432736994,0.6351539767791601,0.6613091509108773,0.04347220003415588,0.03197752688632201,0.04127772774509371,1,2,1,2,2,2,1,2,1,0.9931972789115647,0.9822812846068659,0.9914965986394558,0.9976714996246246,0.9756723414754502,0.9966762086513995,47.568327577701034,42.431939978563776,47.58081705150977,48.55550074000987,44.455519828510184,48.39964476021314,48.38885245901639,42.125,48.28848728246319,48.25180327868853,40.125,48.07161981258367,0.14564892278347358,0.1877064532302965,0.14201235587819347
150125,PUENTE PIEDRA,317617,136446,72565,66755,0.9591836734693877,0.9183673469387755,0.9591836734693877,0.9795918367346939,0.9183673469387755,0.9795918367346939,1.9387755102040816,1.836734693877551,1.9387755102040816,43673,12314,31962,88576,31147,58948,132249,43461,90910,861.5625012465753,317.6708381761766,558.9955206042067,736.3065018212391,106.0437464064049,534.7505616331656,1497.819403332048,640.3444423139186,1010.3140813957335,0.07865646258503402,0.004251700680272109,0.0820578231292517,0.30001889171838636,0.48321589398828807,0.26904045156268275,0.015847315034000237,0.023357933764492248,0.013816622562758054,2,2,2,2,2,2,2,2,2,0.9982269503546098,0.9824236817761332,0.9973404255319149,0.9997517577657749,0.9935124244324997,0.9997039391308215,48.69316744942196,43.871705140141906,48.59773020289068,48.58558751806358,47.552027482582595,48.50758295446835,48.78625237560964,45.65681338314114,48.711814029159626,46.56749021134339,40.17906447945428,46.645172392215756,0.21116371057557307,0.3225024469980071,0.18391431852055246
