ubigeo,population,new_cases,max_temperature,min_temperature,mean_temperature,precipitation,evp,delta_temperature,department.x,province.x,district.x,in_degree,out_degree,in_strength,out_strength,in_closeness,out_closeness,closeness,betweenness,page_rank,alpha,authority,hub,department.y,province.y,district.y,idh,monetary_poverty,life_expectancy,complete_secondary_education,years_education,family_income,number_hh,hh_1_nib_or_more,hh_inadequate_characteristics,overcrowded_housing,hh_wo_bathrooms,hh_children_not_attending_school,hh_high_economic_dependence
150112,211360,270,18.49441601,17.62754908,18.34533683,3.985918172,-29.18409364,0.866866924,LIMA,LIMA,INDEPENDENCIA,0.9761904761904762,0.8809523809523809,728.0382005453135,955.9992429977292,0.011924346020299372,0.004435081909445233,0.08403859895265034,0.003484320557491289,0.01403784909583413,1.0426350504770148,0.081472598831720075,0.3237907691824411,LIMA,LIMA,INDEPENDENCIA,0.697405438,0.20590949,81.47797084,0.766261415,9.6624,1398.713698,54293,8718,3427,4602,669,724,528
150113,75359,18,19.09794061,18.32338706,18.96419257,4.155625651,-29.49547707,0.774553554,LIMA,LIMA,JESUS MARIA,1,0.8809523809523809,2720.1929380256774,1809.339295903608,0.0020362621197654728,0.004430743689011823,0.07665798492308282,0,0.058108138919618794,1.0436381615566541,0.5177175091405893,0.8200588874293852,LIMA,LIMA,JESUS MARIA,0.836180982,0.00519235,82.17063814,0.814129353,13.0988,1914.218576,23794,453,48,288,0,115,14
150114,140679,35,19.12910766,18.23389741,19.00265315,5.110494396,-37.49234089,0.895210249,LIMA,LIMA,LA MOLINA,1,0.9047619047619048,3550.2959637846307,1319.8842755493001,0.0027995849192896257,0.0045846851684248225,0.10580447644039828,0,0.060676434477752526,1.0436381615566543,0.6139204979237086,0.6789900519615975,LIMA,LIMA,LA MOLINA,0.793272471,0.01168268,82.36418986,0.784706622,13.238,1653.862361,40245,843,151,517,13,160,34
150115,173630,353,19.11919501,18.26235464,18.99042476,4.807019368,-34.94899569,0.856840371,LIMA,LIMA,LA VICTORIA,1,0.9047619047619048,791.1838662580399,1217.2435639002479,0.003377191217009089,0.004537871676667127,0.1112101046659227,0.0017421602787456446,0.01523960076092015,1.0436381615566543,0.134233018902607,0.5196606012581789,LIMA,LIMA,LA VICTORIA,0.712486256,0.11057018,81.35010002,0.750875939,10.4249,1440.678495,51132,5325,410,4366,10,631,165
150101,268352,335,18.82592917,17.98839008,18.68797431,4.233050554,-30.72025209,0.837539099,LIMA,LIMA,LIMA,1,0.9047619047619048,6250.486252980566,1151.2491056522774,3.139491732744984e-4,0.006616100937140245,0.10877720392499256,0,0.09459841851160566,1.0436381615566548,0.9909868239277045,0.3585023731369839,LIMA,LIMA,LIMA,0.746010874,0.07958984,81.88344389,0.782691556,11.0691,1545.246473,78665,5598,527,4244,33,847,246
150116,54711,41,19.10502541,18.30304292,18.97293663,4.37275689,-31.31331661,0.801982493,LIMA,LIMA,LINCE,1,0.9047619047619048,1820.1241264310388,1652.135767944289,0.0018750197504739474,0.004606240221133293,0.07662374069582804,0,0.034745766691646245,1.0436381615566537,0.3047502400693301,0.8043618551476939,LIMA,LIMA,LINCE,0.822136078,0.01452933,82.22529614,0.828821656,12.5571,1847.49689,18193,614,110,426,0,98,8
150117,325884,294,18.42341303,17.54568596,18.27252838,4.097529434,-29.14745189,0.877727076,LIMA,LIMA,LOS OLIVOS,1,0.8809523809523809,2987.7988999883846,921.37079451584,0.00249767100117792,0.004473797702727851,0.09374417672500107,0,0.036075144094115594,1.0436381615566546,0.3232316428505636,0.331468620580514,LIMA,LIMA,LOS OLIVOS,0.753197914,0.07881448,82.22582174,0.795136872,11.0914,1566.038489,89749,5865,547,4355,4,929,259
150118,240814,238,18.12114976,17.03493846,18.00533977,5.72831262,-39.94293618,1.086211301,LIMA,LIMA,LURIGANCHO,0.9285714285714286,0.9285714285714286,642.1621409640688,892.5560806265416,0.00970724021347025,0.004488939191885031,0.12014661579021395,0,0.008752565440134301,1.040580013307061,0.08247929839106351,0.28280053281111056,LIMA,LIMA,LURIGANCHO,0.678874995,0.18234247,80.34222508,0.747846094,9.4953,1348.428017,66221,14005,5687,4927,3923,888,564
150119,89195,59,19.73278615,18.90968523,19.60580888,5.603821637,-39.32072022,0.823100916,LIMA,LIMA,LURIN,0.9761904761904762,0.9761904761904762,1078.848549358275,1011.3795616346209,0.025056537983140267,0.0043673850469148024,0.05789110119992262,0.05226480836236934,0.0073682732418007425,1.0425965680996345,0.13258764929447914,0.31601516064113294,LIMA,LIMA,LURIN,0.691154232,0.18264468,79.70375163,0.712550607,9.5231,1468.892071,23865,4518,1913,1737,918,356,129
150120,60290,27,19.09794061,18.32338706,18.96419257,4.155625651,-29.49547707,0.774553554,LIMA,LIMA,MAGDALENA DEL MAR,0.9761904761904762,0.8095238095238095,746.8293367556153,1934.151600597114,0.008350657071726511,0.00448185964317185,0.07098409713525641,0,0.021775042821549892,1.0426350504770143,0.1455429104664203,0.9217128541721356,LIMA,LIMA,MAGDALENA DEL MAR,0.827377375,0.00782218,82.27094378,0.799645839,12.9307,1882.476187,19239,464,48,310,0,107,16
150122,99337,17,19.10644237,18.29897409,18.97468544,4.416183138,-31.67688452,0.807468281,LIMA,LIMA,MIRAFLORES,1,0.8571428571428571,2874.5636237352664,1343.0041172976835,0.003157248591406472,0.004661795441783826,0.08776376907385275,0.02264808362369338,0.06145900896837826,1.0436381615566532,0.5635800286432662,0.6745885512888733,LIMA,LIMA,MIRAFLORES,0.81457821,8.55e-4,81.95825784,0.780917281,13.7643,1765.245985,37626,270,24,129,0,119,3
150123,110071,108,19.40957388,18.51578144,19.28456899,5.629408577,-40.38441488,0.893792435,LIMA,LIMA,PACHACAMAC,1,0.9523809523809523,626.5039060287974,1024.2479853912475,0.015731563951467537,0.0044235939619857645,0.09437454446019919,0,0.007781993984191472,1.0436381615566548,0.08811796919272419,0.41914432593539863,LIMA,LIMA,PACHACAMAC,0.645634317,0.20000896,77.99290926,0.711727208,8.7898,1304.010578,30335,7385,4643,2521,520,388,270
150124,14891,13,19.09561695,18.53407081,18.93887947,2.946092494,-20.14171682,0.561546145,LIMA,LIMA,PUCUSANA,0.35714285714285715,0.9285714285714286,19.660876076202978,679.6051306158082,0.02783405684570593,0.004196127699183712,0.1300734461665456,0.11149825783972125,0.0035753039279780292,1.015597628473341,0.002301064131056623,0.23800076627814612,LIMA,LIMA,PUCUSANA,0.619068012,0.23739385,77.49313819,0.670560748,8.9302,1187.006637,4377,1479,1193,286,205,47,33
150125,329675,312,17.83147984,16.87304921,17.66136265,4.9144079,-28.20519235,0.958430629,LIMA,LIMA,PUENTE PIEDRA,0.9285714285714286,0.9047619047619048,581.3503682261236,907.95480397361,0.02016832275066756,0.004314874315469229,0.05434734875071456,0.050522648083623695,0.006975815658286959,1.040580013307061,0.045745653199758325,0.27741044050194485,LIMA,LIMA,PUENTE PIEDRA,0.661334953,0.22678988,80.14771942,0.734817063,9.1351,1294.089446,87287,19410,10731,6739,2753,1313,757
150126,15874,6,19.57787764,18.71031664,19.45067647,6.034025576,-41.00975623,0.867560998,LIMA,LIMA,PUNTA HERMOSA,0.30952380952380953,0.9047619047619048,47.65915181549059,1535.2148166813658,0.030364469184324644,0.0039856345150564645,0.12251645801486817,0.08420441347270616,0.0036535140777873114,1.0134603511186158,0.005934128478596339,0.40846615395913294,LIMA,LIMA,PUNTA HERMOSA,0.675871767,0.19183087,77.61941486,0.68164794,9.6852,1445.499148,5730,2346,2081,287,94,56,28
