ubigeo_ori,ubigeo_des,cases,dept_ori,prov_ori,distr_ori,dept_des,prov_des,distr_des
150405,150407,1,LIMA,CANTA,LACHAQUI,LIMA,CANTA,SANTA ROSA DE QUIVES
150405,150608,1,LIMA,CANTA,LACHAQUI,LIMA,HUARAL,PACARAOS
150405,150712,2,LIMA,CANTA,LACHAQUI,LIMA,HUAROCHIRI,SAN PEDRO DE LARAOS
150405,150812,2,LIMA,CANTA,LACHAQUI,LIMA,HUAURA,VEGUETA
150406,150101,2,LIMA,CANTA,SAN BUENAVENTURA,LIMA,LIMA,LIMA
150406,150105,2,LIMA,CANTA,SAN BUENAVENTURA,LIMA,LIMA,BRENA
150406,150106,2,LIMA,CANTA,SAN BUENAVENTURA,LIMA,LIMA,CARABAYLLO
150406,150110,7,LIMA,CANTA,SAN BUENAVENTURA,LIMA,LIMA,COMAS
150406,150111,1,LIMA,CANTA,SAN BUENAVENTURA,LIMA,LIMA,EL AGUSTINO
150406,150116,1,LIMA,CANTA,SAN BUENAVENTURA,LIMA,LIMA,LINCE
150406,150118,1,LIMA,CANTA,SAN BUENAVENTURA,LIMA,LIMA,LURIGANCHO
150406,150125,3,LIMA,CANTA,SAN BUENAVENTURA,LIMA,LIMA,PUENTE PIEDRA
150406,150132,3,LIMA,CANTA,SAN BUENAVENTURA,LIMA,LIMA,SAN JUAN DE LURIGANCHO
150406,150134,1,LIMA,CANTA,SAN BUENAVENTURA,LIMA,LIMA,SAN LUIS
150406,150135,1,LIMA,CANTA,SAN BUENAVENTURA,LIMA,LIMA,SAN MARTIN DE PORRES
150406,150142,1,LIMA,CANTA,SAN BUENAVENTURA,LIMA,LIMA,VILLA EL SALVADOR
150406,150202,1,LIMA,CANTA,SAN BUENAVENTURA,LIMA,BARRANCA,PARAMONGA
150406,150401,6,LIMA,CANTA,SAN BUENAVENTURA,LIMA,CANTA,CANTA
150406,150404,2,LIMA,CANTA,SAN BUENAVENTURA,LIMA,CANTA,HUAROS
150406,150406,488,LIMA,CANTA,SAN BUENAVENTURA,LIMA,CANTA,SAN BUENAVENTURA
150406,150722,3,LIMA,CANTA,SAN BUENAVENTURA,LIMA,HUAROCHIRI,SAN MATEO
150407,070101,4,LIMA,CANTA,SANTA ROSA DE QUIVES,CALLAO,CALLAO,CALLAO
150407,070102,1,LIMA,CANTA,SANTA ROSA DE QUIVES,CALLAO,CALLAO,BELLAVISTA
150407,070106,2,LIMA,CANTA,SANTA ROSA DE QUIVES,CALLAO,CALLAO,VENTANILLA
150407,150101,10,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,LIMA,LIMA
