ubigeo,sradiation
021206,246.19337278333333
021207,254.13243539166666
021208,239.73187256666668
021209,251.71228774166667
021210,238.16187275000001
021301,236.90611329166666
021302,238.634053875
021303,236.685114825
021304,236.77901518333334
021305,238.56057643333332
021306,246.23081545833332
021307,246.00717528333334
021308,240.04586564166667
021401,256.52769694166665
021402,256.05801218333335
021403,258.0077640833333
021404,253.91819978333334
021405,261.397944375
021406,254.16696927499999
021407,255.91775170833333
021408,257.026482975
021409,261.95826751666664
021410,256.10411605
021501,238.98826670833333
021502,237.66405463333334
021503,236.48404855833334
021504,235.432929075
021505,236.182997875
021506,234.36271810833333
021507,241.35488548333333
021508,235.42698549166667
021509,234.43321655
021510,241.15603395
021511,240.7691212
021601,241.31568830833334
021602,244.51366083333335
021603,233.93178364166667
021604,234.02238765833334
021701,252.8861542
021702,252.50571703333333
021703,254.33826386666667
021704,254.15535414166666
021705,254.40883505
021706,253.72432305833334
021707,256.137465975
021708,258.46062035833336
021709,253.80716055833332
021710,251.97156635
021801,253.68274623333332
021802,243.05658202499998
021803,0
021804,242.800248275
021805,249.704707325
021806,256.3244038583333
021807,262.9799132
021808,261.9014412
021809,257.8528137833333
021901,237.78174206666668
021902,233.736454275
021903,232.72976650833334
021904,239.89624044166666
021905,236.13574895833332
021906,232.40712989166667
021907,232.49576275833334
021908,237.19193121666666
021909,239.65632253333334
021910,233.69912015833333
022001,243.688728725
022002,254.33144214166666
022003,245.28777635
022004,250.48997735
022005,250.42417911666666
022006,244.69069094166667
022007,254.97732583333334
022008,246.67520420833333
030101,215.40830049166667
030102,234.95565105
030103,233.96505166666665
030104,218.50797969166666
030105,207.609782725
030106,224.64203494166668
030107,227.669136675
030108,209.27980785
030109,214.617336375
030201,230.37463700833334
030202,214.79570089166666
030203,233.93830188333334
030204,221.46714329166667
030205,231.60879062499998
030206,238.576402725
030207,221.51539020833332
030208,213.05016341666666
030209,219.70696676666665
030210,246.53339424166666
030211,241.87795344166668
030212,229.51310336666668
030213,226.007865575
030214,235.843613575
030215,227.9443643
030216,224.90788343333332
030217,238.9142812
030218,232.42828941666667
030219,214.44753344166668
030220,231.37060443333334
030301,248.36264393333332
030302,237.886414175
030303,244.208855775
030304,248.90266388333333
030305,248.26548385
030306,239.97060016666666
030307,241.97981215000001
030401,241.53952410833332
030402,243.44304850833333
030403,243.55269076666667
030404,234.186366225
030405,237.69186591666667
030406,250.22275628333335
030407,236.41553645833335
030408,236.18019759166668
030409,236.32184627499998
030410,240.079539575
030411,233.79341668333333
030412,245.98261918333333
030413,238.76326755833333
030414,235.893801275
030415,233.27754509166667
030416,239.61697445833335
030417,238.78716716666668
030501,235.09739690833334
030502,224.19916889166666
030503,230.80653400833333
030504,245.68414725833333
030505,234.78080863333332
030506,243.77005434166665
030601,222.59406951666668
030602,224.30162869166668
030603,225.62756695
030604,217.76989325833333
030605,220.22562499166668
030606,220.16330175833332
030607,226.8177601
030608,223.99473771666666
030609,221.10021350833333
030610,216.34057050833334
030611,220.73289771666666
030701,240.686894025
030702,236.156743275
030703,227.11389729166666
030704,232.45451175
030705,240.084136925
030706,239.118286925
030707,243.22550344166666
030708,240.51365933333332
030709,239.47765211666666
030710,238.87701111666667
030711,243.68924838333334
030712,237.432563775
030713,245.51166304166668
030714,237.760499475
040101,278.8446378666667
040102,272.23469173333336
040103,269.50214950000003
040104,273.4210100166667
040105,274.47070221666667
040106,270.9648938166667
040107,279.06290055
040108,277.42826916666667
040109,271.2685886
040110,272.10578243333333
040111,277.666578675
040112,277.70082375
040113,274.7571639916667
040114,276.37753538333334
040115,277.31648305833335
040116,277.62129246666666
040117,279.0627239333333
040118,277.4559498666667
040119,273.7621179
040120,275.921592175
040121,276.4053522
040122,279.07633791666666
040123,279.08460484166665
040124,277.5856892666667
040125,276.5844562
040126,278.88846219166663
040127,275.71409966666664
040128,273.41250104166664
040129,279.06290055
040201,0
040202,264.19816335
040203,268.61241574166667
040204,268.42999810833334
040205,266.77307795
040206,271.19012044166664
040207,265.672107
040208,264.2169700416667
040301,279.1241365916667
040302,269.22099533333335
