ubigeo,sairtemp
050408,291.37167131666666
050409,295.8706407166667
050410,279.6095677833333
050411,285.7266577
050412,279.632587275
050501,281.94943056666665
050502,287.3165856333333
050503,289.1306318
050504,285.442818225
050505,286.086632725
050506,284.7318185666667
050507,290.47056108333334
050508,279.68088164166664
050509,288.344680975
050510,286.368602375
050511,287.4671018583333
050601,280.0361640333333
050602,279.6262715583333
050603,279.20880925
050604,279.12263019166664
050605,283.538442125
050606,277.97112545
050607,287.86658101666666
050608,281.784288425
050609,283.28041865833336
050610,285.603433125
050611,280.01200604166667
050612,286.91668880000003
050613,284.28907681666664
050614,286.9080590333333
050615,283.47787429166664
050616,282.8371838416667
050617,286.4710598
050618,279.24602434166667
050619,286.63197030833334
050620,283.08870970833334
050621,286.1672194
050701,278.848665275
050702,283.1888653666667
050703,277.5976097166667
050704,281.103222775
050705,285.0644702166667
050706,282.96192644166666
050707,280.73351161666665
050708,280.126970975
050801,285.1314195666667
050802,280.98901555
050803,284.88973284166667
050804,282.00528970833335
050805,282.0781105
050806,277.12492533333335
050807,281.17087883333335
050808,280.04909795833333
050809,282.546038075
050810,282.72536414166666
050901,282.60423133333336
050902,285.82134526666664
050903,284.88402213333336
050904,283.5300026333333
050905,279.45627005
050906,280.69968745
050907,283.2451963583333
050908,280.23961226666665
050909,281.40974405
050910,281.99921570833334
050911,279.47996416666666
051001,280.0504250833333
051002,283.71521235833336
051003,279.798729725
051004,282.4704002916667
051005,280.18767384166665
051006,283.2302292416667
051007,283.1779513
051008,280.1659106916667
051009,279.8290556833333
051010,281.63727925833336
051011,280.18755535
051012,278.8290194416667
051101,282.85105277499997
051102,283.8592355916667
051103,285.67958684166666
051104,284.2804030666667
051105,282.99575209166665
051106,285.15713876666666
051107,286.414954075
051108,281.59065465833334
060101,282.6333283916667
060102,284.74591826666665
060103,283.26860058333335
060104,286.73582739166665
060105,280.92019575
060106,283.5870980583333
060107,285.23157323333334
060108,283.60904065
060109,288.284063325
060110,285.9857355166667
060111,283.5777267916667
060112,285.18397195
060201,284.37634991666664
060202,284.81415315833334
060203,287.70763100833335
060204,287.39136245833333
060301,290.4050781916667
060302,290.69517390833335
060303,288.6053740583333
060304,282.94950364166664
060305,290.78183114166666
060306,285.076828825
060307,285.24797701666665
060308,285.8362488833333
060309,282.18127211666666
060310,283.0234331583333
060311,291.662485725
060312,285.14195421666665
060401,285.09595551666666
060402,288.8442621583333
060403,288.25573385
060404,286.1879121833333
060405,292.4505277916667
060406,291.27697458333336
060407,288.75035945
060408,285.1442763416667
060409,288.6908056916667
060410,286.70536845833334
060411,291.2888697
060412,287.195082925
060413,285.4983547416667
060414,294.4837473416667
060415,286.15741978333335
060416,291.2128328
060417,287.757702925
060418,293.77233908333335
060419,285.5084051
060501,287.30393009166664
060502,293.00239800833333
060503,289.3393893416667
060504,284.7534592
060505,293.45353421666664
060506,286.79157276666666
060507,289.092589625
060508,293.65920281666666
060601,287.6571605166667
060602,292.40544009166666
060603,296.83185361666665
060604,295.4081681
060605,292.11059635833334
060606,292.89077269166665
060607,289.15490628333333
060608,288.13703933333335
060609,293.32885695
060610,290.93294349166666
060611,293.9160201083333
060612,289.39133540833336
060613,293.4630358083333
060614,287.8814256833333
060615,296.5678802
060701,283.78007271666667
060702,283.87302945
060703,281.80007179166665
060801,293.7792858
060802,298.06302780833335
060803,287.6728613833333
060804,291.88948430833335
060805,292.76446176666667
060806,294.32342827499997
060807,289.44771918333333
060808,291.87321744999997
060809,287.1091922416667
060810,288.955150875
060811,291.1754332
060812,295.8143214666667
060901,294.0783259583333
060902,294.9593712083333
060903,293.1193118416667
060904,293.58258685
060905,289.56842216666666
060906,291.459388575
060907,288.0100809416667
061001,285.85520759166667
061002,288.0966876
061003,289.61959895
061004,282.85294450000004
061005,287.355463675
061006,286.31708803333333
061007,286.8167272416667
061101,288.3158141
061102,290.32944788333333
061103,282.3541083833333
061104,281.71865729166666
061105,285.3442342166667
061106,292.70565100833335
061107,281.562582975
061108,295.83464549166666
061109,288.4839656666667
061110,293.55708945
061111,282.6947067
061112,283.1527990083333
061113,290.6163453
061201,287.8266998583333
061202,291.01978155833336
061203,293.0401959166667
061204,282.2725984416667
061301,290.1108037916667
061302,288.94508870833334
061303,288.64850455
061304,290.06411405
061305,289.07803641666663
061306,285.24195870833336
061307,285.8975095916667
061308,289.34548943333334
061309,290.06939877499997
061310,287.7039275
061311,288.3701520166667
070101,295.85962931666666
070102,295.85962931666666
070103,295.85962931666666
070104,0
070105,0
070106,295.9647468083333
070107,295.97393545
080101,280.05948951666664
080102,279.85480943333334
080103,280.4585767666667
080104,280.9761199833333
080105,281.24651944166663
080106,281.43262940833336
080107,281.23602295
080108,281.911018375
080201,279.4490865416667
080202,280.673088525
080203,281.42605984166664
080204,280.95665720833335
080205,279.81101393333336
080206,280.04571105
080207,279.73527674166667
080301,281.0740649333333
080302,280.1953328
080303,280.71536360833335
080304,282.236974625
080305,278.84789889166666
080306,281.71362795
080307,282.986291025
080308,281.1695263666667
080309,281.316021825
080401,278.0099402083333
080402,279.76338330833335
080403,279.0761567833333
080404,278.479494575
080405,279.5174137416667
080406,280.21293614166666
080407,280.6614038583333
080408,284.85489874166666
080501,279.7525655333333
080502,279.58545814166666
080503,279.7617375166667
080504,279.3982994
080505,278.000343275
080506,281.037445075
080507,279.71878718333335
080508,280.74598636666667
080601,278.4390084916667
080602,275.09603410833336
080603,278.7161281416667
080604,277.46399015833333
080605,274.22090925833334
080606,276.7445916666667
080607,280.79455014166666
080608,281.0346084
080701,277.6656297916667
080702,280.8445583166667
080703,280.5954156916667
080704,281.3576982916667
080705,279.70981505000003
080706,279.353182925
080707,280.27671434166666
080708,279.13133715
080801,279.92923829166665
080802,276.16620525
080803,279.068727625
080804,278.6797387583333
080805,279.56657409999997
080806,280.532950875
080807,278.15101316666664
080808,279.864632725
080901,288.71905450833333
080902,291.6099253916667
080903,284.49474180833334
080904,290.95823775
080905,284.69631276666667
080906,290.85790913333335
080907,290.29655076666666
080908,281.20415648333335
080909,284.473555525
080910,292.577995725
080911,286.20893859166665
080912,288.45308158333336
080913,293.89715194166666
080914,298.960057475
081001,281.44680385
081002,281.1926790416667
081003,282.44180995
081004,283.00175775
081005,281.83496104166665
081006,279.86845561666667
081007,282.8984231416667
081008,282.044877225
081009,280.7918508833333
081101,281.7682681416667
081102,279.8526611583333
081103,280.3669355083333
081104,279.6163734
