ubigeo,ntl
090607,0.2612383
090608,0.2417994
090609,0.2841025
090610,0.2623743
090611,0.298763
090612,0.2510703
090613,0.2573711
090614,0.2617421
090615,0.264613
090616,0.2652084
090701,0.6600478
090702,0.5554978
090703,0.4337566
090704,0.582602
090705,0.7327606
090706,0.6617696
090707,0.3808252
090709,0.3737968
090710,0.5199342
090711,0.4498844
090713,0.4129989
090714,0.3779568
090715,0.3701845
090716,0.3853711
090717,0.4602319
090718,0.3582741
090719,0.6142212
090720,0.7607967
090721,0.3595803
090722,0.3474654
090723,0.3861964
100101,3.2850199
100102,3.0500936
100103,0.4317291
100104,0.4733247
100105,0.4219949
100106,0.4677995
100107,0.5162688
100108,0.4093175
100109,0.5360306
100110,0.425261
100111,2.3900875
100112,0.4198575
100113,0.4202311
100201,0.6254906
100202,0.4481841
100203,0.4397573
100204,0.6150626
100205,0.5922614
100206,0.4063564
100207,0.4194917
100208,0.6612469
100301,0.4616363
100307,0.421839
100311,0.3310425
100313,0.3856004
100316,0.4487038
100317,0.5627112
100321,0.4801664
100322,0.5206612
100323,0.4869772
100401,0.3377126
100402,0.3515842
100403,0.3663902
100404,0.353214
100501,0.5074881
100502,0.3706146
100503,0.4212828
100504,0.4339047
100505,0.3244297
100506,0.4313547
100507,0.3953983
100508,0.5068654
100509,0.4157335
100510,0.4363591
100511,0.3112716
100601,1.2896882
100602,0.4037727
100603,0.444753
100604,0.4906487
100605,0.7784817
100606,0.4824041
100607,0.3869622
100608,0.988774
100609,0.4712296
100610,0.4128186
100701,0.3885381
100702,0.4084977
100703,0.4283756
100704,0.4735144
100705,0.3978923
100801,0.4476406
100802,0.3977287
100803,0.4714613
100804,0.5917513
100901,0.3349423
100902,0.3652802
100903,0.3525686
100904,0.3937318
100905,0.3353429
101001,0.3913482
101002,0.4031903
101003,0.4242121
101004,0.3475595
101005,0.3990206
101006,0.5365743
101007,0.4534864
101101,0.4676033
101102,0.8042504
101103,0.5225109
101104,0.3936312
101105,0.6979381
101106,0.4992626
101107,0.391699
101108,0.4188991
110101,1.2901209
110102,3.3271336
110103,3.3341805
110104,0.2678304
110105,1.7207449
110106,19.5080432
110107,4.919709
110108,0.8714391
110109,0.4529604
110110,3.8105155
110111,0.3664454
110112,1.6937692
110113,5.3660905
110114,0.2852184
110201,2.4567746
110202,0.8884833
110203,0.4795016
110204,3.0375902
110205,0.4871427
110206,1.5056961
110207,1.3380375
110208,0.2527802
110209,0.2786055
110210,9.5532998
110211,9.1777979
110301,0.5562309
110302,0.2436949
110303,0.3085058
110304,0.8870715
110305,0.7338218
110401,0.7660939
110402,0.3953685
110403,0.3363816
110404,0.2815478
110405,0.252521
110501,15.3320075
110502,0.2857115
110503,0.3582944
110504,0.8933405
110505,0.7388722
110506,2.0417695
110507,1.6958927
110508,3.5648418
120101,3.3949282
120104,0.3878755
120105,0.2919597
120106,0.3903683
120107,14.1039175
