ubigeo,co
021016,0.027952491666666666
021101,0.03687624166666666
021102,0.031220475
021103,0.037901275
021104,0.03313491666666667
021105,0.029767025
021201,0.028482708333333332
021202,0.03137274166666667
021203,0.02997025
021204,0.029824049999999998
021205,0.029037866666666665
021206,0.0284437
021207,0.028559408333333335
021208,0.026338416666666666
021209,0.028370041666666665
021210,0.02634798333333333
021301,0.0288903
021302,0.028447191666666666
021303,0.031223275
021304,0.02943445
021305,0.029528533333333336
021306,0.02818375
021307,0.028763691666666667
021308,0.02904695
021401,0.02658695
021402,0.030800374999999998
021403,0.026578608333333333
021404,0.031238058333333332
021405,0.036329425
021406,0.027112575
021407,0.028943425000000002
021408,0.029466
021409,0.034744475
021410,0.027469258333333333
021501,0.025926583333333333
021502,0.0314104
021503,0.026477633333333334
021504,0.028735983333333333
021505,0.026647133333333333
021506,0.026759458333333333
021507,0.028880708333333335
021508,0.02946140833333333
021509,0.026636466666666667
021510,0.032857791666666664
021511,0.029843166666666667
021601,0.026840741666666668
021602,0.028394083333333334
021603,0.0300059
021604,0.029441541666666668
021701,0.025293783333333333
021702,0.024125516666666666
021703,0.024920266666666666
021704,0.027529841666666666
021705,0.030469833333333335
021706,0.026833616666666667
021707,0.025345225
021708,0.031182433333333332
021709,0.02516235
021710,0.02470161666666667
021801,0.03793005
021802,0.030867433333333333
021803,0.04019678333333333
021804,0.031290475
021805,0.035955525
021806,0.038390041666666666
021807,0.03946245
021808,0.04062151666666666
021809,0.039648775000000004
021901,0.028925083333333334
021902,0.030664425
021903,0.029683166666666667
021904,0.028490066666666668
021905,0.027308633333333332
021906,0.028556675
021907,0.03043745
021908,0.025779033333333333
021909,0.027398233333333334
021910,0.029580225
022001,0.027513125
022002,0.02645926666666667
022003,0.028399075
022004,0.030018983333333332
022005,0.02946315
022006,0.030136333333333334
022007,0.025466341666666666
022008,0.026398616666666666
030101,0.02882705
030102,0.026470508333333333
030103,0.02569898333333333
030104,0.027780216666666666
030105,0.03085079166666667
030106,0.026843183333333333
030107,0.028828591666666667
030108,0.029887825
030109,0.027546191666666667
030201,0.025961491666666666
030202,0.03077545
030203,0.026572016666666667
030204,0.029112775
030205,0.026514866666666664
030206,0.026454066666666668
030207,0.026620383333333334
030208,0.031347483333333336
030209,0.028705008333333334
030210,0.024683033333333333
030211,0.025266875
030212,0.027478425
030213,0.025699466666666667
030214,0.027356216666666665
030215,0.027490525
030216,0.028097858333333333
030217,0.024585633333333332
030218,0.025716508333333332
030219,0.03153030833333333
030220,0.024850391666666666
030301,0.022483091666666667
030302,0.025154258333333332
030303,0.023298291666666665
030304,0.02246095
030305,0.022770408333333332
030306,0.02517045
030307,0.025107491666666665
030401,0.024954233333333332
030402,0.026071175
030403,0.023989416666666666
030404,0.0267126
030405,0.027720441666666668
030406,0.022698358333333335
030407,0.027499141666666668
030408,0.027515166666666667
030409,0.026268983333333332
030410,0.026156625
030411,0.026450541666666667
030412,0.024733725
030413,0.026459808333333334
030414,0.026161741666666665
030415,0.028537625
030416,0.026128208333333333
030417,0.025891116666666665
030501,0.026130066666666667
030502,0.027590491666666668
030503,0.0255136
030504,0.025148341666666667
030505,0.026650075
030506,0.024406708333333332
030601,0.029041466666666668
030602,0.026681391666666665
030603,0.028519325
030604,0.030418441666666667
030605,0.029786091666666667
030606,0.029793458333333335
030607,0.02806999166666667
030608,0.027139766666666666
030609,0.029101675
030610,0.032188858333333334
030611,0.029921016666666668
030701,0.02421285
030702,0.025319883333333335
030703,0.026891875
030704,0.026095774999999998
030705,0.02422545833333333
030706,0.02505685
030707,0.02345381666666667
030708,0.02443095
030709,0.025415516666666665
030710,0.0265168
030711,0.024514016666666666
030712,0.027617391666666668
030713,0.022565308333333332
030714,0.025393883333333332
040101,0.027466641666666666
040102,0.025951725
040103,0.023771766666666666
040104,0.025349358333333332
040105,0.024931008333333334
040106,0.024056091666666668
040107,0.027666033333333333
040108,0.028487366666666666
040109,0.026166625
040110,0.026232516666666667
040111,0.026383191666666667
040112,0.027593799999999998
040113,0.023729991666666665
040114,0.024632908333333335
040115,0.025740808333333334
040116,0.027385766666666665
040117,0.027404733333333334
040118,0.029495141666666665
040119,0.02183405
040120,0.028009775
