ubigeo,swindspeed
030103,2.7753168416666667
030104,2.526681125
030105,2.49315545
030106,2.6049087083333333
030107,2.692813075
030108,2.473774891666667
030109,2.467958783333333
030201,2.75020525
030202,2.492639666666667
030203,3.071447733333333
030204,2.561187633333333
030205,2.845217775
030206,3.183842708333333
030207,2.6152417833333335
030208,2.5204729416666667
030209,2.5236708
030210,3.1589675083333333
030211,3.112369033333333
030212,2.9638473666666667
030213,2.6486856833333334
030214,3.2133705333333333
030215,2.6858101083333334
030216,2.5972875
030217,3.0692107916666664
030218,2.8257600166666665
030219,2.484287666666667
030220,2.786114808333333
030301,3.0127714333333335
030302,2.9214848916666667
030303,2.953425225
030304,2.953888083333333
030305,3.0895713166666665
030306,2.9061719916666666
030307,2.967002933333333
030401,3.048804158333333
030402,3.024134516666667
030403,3.1353035166666667
030404,2.9682765583333333
030405,3.020349775
030406,3.1201017
030407,3.01439185
030408,3.002996583333333
030409,2.9370309666666667
030410,2.9622397916666667
030411,2.899391425
030412,3.1311277
030413,2.998202275
030414,2.9897174333333334
030415,2.9174692916666665
030416,3.0448707833333333
030417,3.0090019249999997
030501,2.633718775
030502,2.5882530416666665
030503,2.6660938333333335
030504,2.90733115
030505,2.675070408333333
030506,2.816439433333333
030601,2.7738268083333333
030602,2.6690085083333335
030603,2.82975625
030604,2.7945450083333334
030605,2.5538938166666667
030606,2.6610211666666665
030607,2.7939830083333335
030608,2.61129675
030609,2.6261232249999997
030610,2.59691645
030611,2.8193595
030701,2.8015123083333333
030702,2.7257226083333332
030703,2.625748575
030704,2.7293573583333335
030705,2.936473375
030706,2.84646175
030707,2.8596309166666667
030708,2.8163974166666668
030709,2.8391438
030710,2.8182986249999997
030711,2.8919137
030712,2.7732675
030713,2.934143925
030714,2.830557275
040101,3.3874412583333333
040102,3.39207025
040103,3.3853257083333332
040104,3.3368028916666668
040105,3.5727114916666665
040106,3.528829066666667
040107,3.3942657666666665
040108,3.13353855
040109,3.4209300666666667
040110,3.402188375
040111,3.4335286166666665
040112,3.46936025
040113,3.589340975
040114,3.3516997833333333
040115,3.4144618833333333
040116,3.478653675
040117,3.3941258666666667
040118,2.9031773333333333
040119,3.2499311333333334
040120,3.046730025
040121,2.9837852083333334
040122,3.3934376916666666
040123,3.3610514583333333
040124,3.2874915
040125,3.1263562166666667
040126,3.388811525
040127,3.2015053333333334
040128,3.3650893083333333
040129,3.3942657666666665
040201,0
040202,3.4952917833333332
040203,3.0690905416666667
040204,3.3165260666666665
040205,3.179748666666667
040206,3.1938190916666667
040207,3.416191216666667
040208,3.5221449750000002
040301,3.088463733333333
040302,3.4725788
040303,3.2823515083333334
040304,3.5578855
040305,4.32141345
040306,3.4656912166666665
040307,3.601353625
040308,3.2569324833333333
040309,3.130012841666667
040310,3.1394686083333334
040311,5.228339608333333
040312,3.57897685
040313,3.8186750833333334
040401,2.870917525
040402,3.024397583333333
040403,2.9447395083333334
040404,2.7993313083333335
040405,2.7926412833333334
040406,2.7566020416666666
040407,2.9559036583333334
040408,3.1220309166666667
040409,2.7634600333333332
040410,3.0599464
040411,2.9953493583333333
040412,2.968199183333333
040413,2.7502717166666666
040414,3.13460265
040501,2.9969247416666667
040502,3.0434284333333332
040503,2.868551958333333
040504,3.3622502499999998
040505,2.9379949416666666
040506,2.9286279833333335
040507,2.9650216
040508,3.377470175
040509,2.887127808333333
040510,2.8584918999999998
040511,3.1906791583333334
040512,2.92014325
040513,2.842435775
040514,3.2985258666666666
040515,3.030477825
040516,2.7551758416666665
040517,3.224317775
040518,2.998737275
040519,3.1553238833333332
040520,2.9288139416666668
040601,2.9079701
040602,2.9955512583333332
040603,2.8586376166666665
040604,3.185039475
040605,2.9474072166666665
040606,3.0711697833333336
040607,3.0031950916666665
040608,3.0916031166666667
040701,3.2148255083333335
040702,3.03750475
040703,3.5433325333333334
040704,3.5052210083333333
040705,3.488992575
040706,3.242797358333333
040801,2.815135775
040802,2.7109882666666665
040803,2.912051925
040804,2.7734199916666666
040805,2.836484925
040806,2.834497275
040807,2.9612294
040808,3.1645665583333336
040809,3.2076445666666666
040810,2.743157075
040811,3.075875625
050101,3.6571900250000002
050102,3.1439006333333332
050103,3.3390657833333335
050104,3.601169925
050105,3.350780425
050106,2.932748
050107,3.71226625
050108,3.524148933333333
050109,3.794384508333333
050110,3.6011916083333335
050111,3.896265966666667
050112,3.5981230916666664
050113,3.4323125416666667
050114,3.6597736833333334
050115,3.6293774166666664
050116,3.5661529333333335
050201,3.1387161249999997
050202,3.570908108333333
050203,3.420306883333333
050204,3.4375660916666666
050205,3.440044175
050206,3.414323025
050301,3.2874859916666663
050302,3.3538249583333335
050303,3.3612915166666664
050304,3.1726157916666664
050401,3.5520607166666665
050402,2.993477058333333
050403,3.5688290666666664
050404,3.62820365
050405,3.521424975
050406,3.1656246083333333
050407,2.986710283333333
050408,2.854426675
050409,2.729929766666667
050410,3.20421025
050411,2.825468725
050412,3.281232741666667
050501,3.236059141666667
050502,2.9898240916666667
050503,3.051400891666667
050504,3.050848333333333
050505,2.7836310166666665
050506,3.0148044916666668
050507,3.0235630916666665
050508,3.3010753083333335
050509,3.026527016666667
050510,3.056651375
050511,2.601978716666667
050601,3.4857502499999997
050602,3.298589275
050603,3.4243864333333334
050604,3.5139770416666667
050605,3.571113141666667
050606,3.4586051833333333
050607,3.815742758333333
050608,3.4644701083333334
050609,3.637440408333333
050610,3.6548510333333333
050611,3.8700139583333333
050612,3.6431435
050613,3.755181116666667
050614,3.56321625
050615,3.67263295
050616,3.6473825333333334
050617,3.4229842083333333
050618,3.529495625
050619,3.273775158333333
050620,3.182741675
050621,3.3989794916666667
050701,3.4281542333333332
050702,3.6229946083333333
050703,2.8842965666666665
050704,3.228472008333333
050705,3.297781975
050706,3.5555917333333333
050707,3.2587479249999998
050708,3.268778175
050801,3.2777825666666667
050802,3.140668633333333
050803,3.0597192583333332
050804,3.3129270833333333
050805,3.2646992666666668
050806,3.044426083333333
050807,3.3097371166666667
050808,3.2131266833333334
050809,3.0388832833333335
050810,3.3346400916666665
050901,3.3239125166666668
050902,3.1010507333333335
050903,3.1767666833333332
050904,3.2314615583333333
050905,3.200077175
050906,3.2471136166666668
050907,3.277132825
050908,3.185322275
050909,3.350760833333333
050910,3.2527042833333333
050911,3.2490407333333335
