ubigeo,no2
020601,5.016666666666667e-5
020602,5.245e-5
020603,5.1416666666666665e-5
020604,5.183333333333334e-5
020605,5.0316666666666665e-5
020606,4.688333333333333e-5
020607,5.219166666666667e-5
020608,4.7016666666666667e-5
020609,4.519166666666667e-5
020610,5.2791666666666665e-5
020611,5.185e-5
020701,4.8091666666666666e-5
020702,4.8058333333333334e-5
020703,4.7775e-5
020801,5.3275e-5
020802,5.3041666666666664e-5
020803,5.37e-5
020804,5.333333333333333e-5
020901,4.9191666666666665e-5
020902,4.625833333333333e-5
020903,4.95e-5
020904,4.69e-5
020905,5.1975e-5
020906,5.181666666666667e-5
020907,5.4766666666666665e-5
021001,4.7491666666666665e-5
021002,4.8066666666666665e-5
021003,4.706666666666667e-5
021004,5.5108333333333336e-5
021005,4.768333333333333e-5
021006,4.6375e-5
021007,5.209166666666667e-5
021008,5.075e-5
021009,4.8866666666666664e-5
021010,4.7475e-5
021011,4.8825e-5
021012,4.9925e-5
021013,4.6025e-5
021014,5.600833333333333e-5
021015,5.0816666666666664e-5
021016,4.7175e-5
021101,5.611666666666667e-5
021102,5.5058333333333334e-5
021103,5.4925e-5
021104,5.6725e-5
021105,5.3975e-5
021201,4.9141666666666664e-5
021202,5.455e-5
021203,5.0241666666666664e-5
021204,5.234166666666667e-5
021205,5.041666666666667e-5
021206,4.9025e-5
021207,5.1666666666666664e-5
021208,4.759166666666667e-5
021209,5.2925e-5
021210,4.8658333333333335e-5
021301,4.676666666666667e-5
021302,4.629166666666667e-5
021303,4.6775e-5
021304,4.745e-5
021305,4.575833333333333e-5
021306,4.539166666666667e-5
021307,4.5816666666666665e-5
021308,4.55e-5
021401,5.1975e-5
021402,5.489166666666667e-5
021403,5.193333333333333e-5
021404,5.359166666666667e-5
021405,6e-5
021406,5.260833333333333e-5
021407,5.405e-5
021408,5.2541666666666665e-5
021409,5.803333333333333e-5
021410,5.14e-5
021501,4.975e-5
021502,5.4233333333333335e-5
021503,4.620833333333333e-5
021504,5.015e-5
021505,4.8825e-5
021506,4.878333333333333e-5
021507,5.0125e-5
021508,5.245833333333333e-5
021509,4.7175e-5
021510,5.153333333333333e-5
021511,5.320833333333333e-5
021601,4.6325e-5
021602,4.516666666666666e-5
021603,4.6975000000000003e-5
021604,4.7475e-5
021701,5.4191666666666665e-5
021702,5.550833333333333e-5
021703,5.211666666666667e-5
021704,5.165833333333333e-5
021705,5.2525e-5
021706,5.326666666666667e-5
021707,5.3108333333333334e-5
021708,5.4533333333333335e-5
021709,5.0566666666666665e-5
021710,5.668333333333333e-5
021801,5.5375e-5
021802,4.9758333333333334e-5
021803,5.7825e-5
021804,5.219166666666667e-5
021805,5.2491666666666664e-5
021806,5.4499999999999997e-5
021807,5.315e-5
021808,5.8141666666666666e-5
021809,5.3941666666666665e-5
021901,4.624166666666667e-5
021902,4.660833333333333e-5
021903,4.5258333333333333e-5
021904,4.7783333333333334e-5
021905,4.605833333333333e-5
021906,4.5283333333333334e-5
021907,4.7375e-5
021908,4.570833333333333e-5
021909,4.94e-5
021910,4.878333333333333e-5
022001,4.735833333333333e-5
022002,4.988333333333333e-5
022003,4.87e-5
022004,5.2425e-5
022005,4.975e-5
022006,5.1275e-5
022007,5.0608333333333335e-5
022008,4.7216666666666665e-5
030101,5.3983333333333335e-5
030102,5.3458333333333336e-5
030103,5.2875e-5
030104,5.459166666666667e-5
030105,5.210833333333333e-5
030106,5.245e-5
030107,5.2808333333333334e-5
