ubigeo,so2
020602,5.949e-4
020603,3.92525e-4
020604,5.001833333333333e-4
020605,4.395e-4
020606,4.260833333333333e-4
020607,5.332416666666667e-4
020608,3.1555e-4
020609,2.580083333333333e-4
020610,4.973166666666667e-4
020611,4.49675e-4
020701,3.3541666666666664e-4
020702,4.0071666666666666e-4
020703,4.007916666666667e-4
020801,6.263333333333333e-4
020802,5.655583333333333e-4
020803,6.79775e-4
020804,5.685333333333333e-4
020901,4.7513333333333335e-4
020902,4.1369999999999997e-4
020903,5.9925e-4
020904,4.16525e-4
020905,4.7354166666666665e-4
020906,4.3485833333333336e-4
020907,5.556083333333333e-4
021001,3.931583333333333e-4
021002,3.309916666666667e-4
021003,3.553e-4
021004,4.012833333333333e-4
021005,3.41875e-4
021006,3.3044166666666664e-4
021007,4.274e-4
021008,4.0875e-4
021009,4.364666666666667e-4
021010,3.779333333333333e-4
021011,3.9598333333333335e-4
021012,4.5600833333333336e-4
021013,4.4425e-4
021014,3.9496666666666665e-4
021015,4.132e-4
021016,3.7968333333333334e-4
021101,6.7985e-4
021102,6.373416666666667e-4
021103,7.291833333333334e-4
021104,5.453583333333334e-4
021105,6.213916666666666e-4
021201,3.84725e-4
021202,4.8055833333333334e-4
021203,4.3131666666666664e-4
021204,4.781333333333333e-4
021205,4.7982499999999997e-4
021206,4.20925e-4
021207,4.645e-4
021208,3.0755833333333336e-4
021209,5.213833333333333e-4
021210,3.5975e-4
021301,3.1351666666666665e-4
021302,3.361416666666667e-4
021303,4.44775e-4
021304,3.26875e-4
021305,4.266333333333333e-4
021306,4.1460833333333333e-4
021307,3.7080833333333335e-4
021308,3.895916666666667e-4
021401,6.617166666666667e-4
021402,6.995333333333334e-4
021403,5.782333333333333e-4
021404,6.746416666666667e-4
021405,7.558416666666667e-4
021406,7.602166666666666e-4
021407,5.860416666666667e-4
021408,5.828166666666666e-4
021409,8.270833333333333e-4
021410,6.355416666666666e-4
021501,3.255e-4
021502,5.08825e-4
021503,2.9609166666666665e-4
021504,3.755e-4
021505,3.5485000000000003e-4
021506,3.819166666666667e-4
021507,4.4866666666666666e-4
021508,4.28076106975e-4
021509,2.87925e-4
021510,5.790333333333333e-4
021511,4.7699166666666666e-4
021601,2.7932214302083333e-4
021602,3.457166666666667e-4
021603,3.17875e-4
021604,3.237416666666667e-4
021701,4.893916666666667e-4
021702,4.7088333333333333e-4
021703,5.258166666666667e-4
021704,5.377083333333333e-4
021705,6.119083333333334e-4
021706,5.867666666666667e-4
021707,5.435666666666667e-4
021708,5.944311680166666e-4
021709,4.90775e-4
021710,4.5084166666666664e-4
021801,6.44e-4
021802,4.5841666666666665e-4
021803,5.75375e-4
021804,5.342333333333333e-4
021805,5.492916666666667e-4
021806,6.393166666666667e-4
021807,6.373833333333333e-4
021808,6.144e-4
021809,6.5015e-4
021901,3.704583333333333e-4
021902,3.3423333333333334e-4
021903,3.07525e-4
021904,4.456e-4
021905,3.5483333333333336e-4
021906,3.141e-4
021907,2.88375e-4
021908,3.6077500000000003e-4
021909,3.6485e-4
021910,3.5631666666666666e-4
022001,4.4298333333333336e-4
022002,3.9465e-4
022003,4.3936666666666665e-4
022004,5.2515e-4
022005,3.86175e-4
022006,5.325583333333334e-4
022007,3.4059166666666665e-4
022008,3.394166666666667e-4
030101,4.996333333333334e-4
030102,5.055666666666667e-4
030103,4.800333333333333e-4
030104,4.7994166666666665e-4
030105,4.7745e-4
030106,4.618166666666667e-4
030107,5.7615e-4
030108,5.206083333333334e-4
030109,4.060166666666667e-4
030201,4.567083333333333e-4
030202,5.439083333333333e-4
030203,5.43e-4
030204,6.292e-4
030205,5.232e-4
030206,5.368916666666667e-4
030207,5.001083333333334e-4
030208,5.94e-4
030209,5.1545e-4
030210,6.707583333333333e-4
030211,6.30025e-4
030212,5.752999999999999e-4
030213,4.113333333333333e-4
030214,5.647583333333333e-4
030215,4.7198333333333336e-4
030216,5.424916666666667e-4
030217,5.082e-4
030218,4.4965833333333334e-4
030219,5.458833333333333e-4
030220,4.724666666666667e-4
030301,7.694833333333333e-4
030302,5.004e-4
