ubigeo,tmmx
050111,22.83424245
050112,18.163746941666666
050113,23.534936875
050114,16.329144616666667
050115,25.201523416666667
050116,25.210070075
050201,20.878218283333332
050202,15.394063091666666
050203,18.518725958333334
050204,18.464829808333334
050205,13.245582083333334
050206,16.340897525
050301,14.079250458333334
050302,17.196723891666668
050303,15.106836725
050304,13.953685316666666
050401,19.74993615
050402,20.851029683333334
050403,19.878662125
050404,22.53943651666667
050405,22.7694838
050406,19.50765236666667
050407,24.543315775
050408,26.440782766666665
050409,29.178137466666666
050410,18.266244941666667
050411,22.590161083333335
050412,17.712741566666665
050501,20.524528150000002
050502,23.994337625
050503,25.1255764
050504,24.021244858333333
050505,22.986583666666668
050506,22.000925641666665
050507,26.069380933333335
050508,17.988900875
050509,24.33802705833333
050510,23.49900789166667
050511,24.566951383333333
050601,15.345657608333333
050602,15.540584358333334
050603,14.720643158333333
050604,14.521421641666667
050605,18.32344051666667
050606,13.870627425
050607,21.685907033333333
050608,16.9321894
050609,18.802071916666666
050610,19.647366891666667
050611,15.163258516666668
050612,21.235176383333332
050613,19.717708725
050614,21.088957575000002
050615,18.543505616666668
050616,18.841461566666666
050617,21.229032325
050618,14.714642791666666
050619,21.614538316666668
050620,18.418029708333332
050621,21.476943616666667
050701,14.2912633
050702,17.9629187
050703,13.642773833333333
050704,16.122467775
050705,20.376116783333334
050706,17.614781766666667
050707,16.227133416666668
050708,15.634714375
050801,20.109075233333332
050802,16.559179091666667
050803,18.845683766666667
050804,16.813314141666666
050805,16.376640358333333
050806,12.950685991666667
050807,17.313603875
050808,16.540004291666666
050809,17.24762285
050810,17.109793425
050901,18.628007125
050902,23.99926745
050903,21.67262325
050904,21.787990491666665
050905,15.990699791666668
050906,17.019584041666665
050907,19.275255466666668
050908,16.4724746
050909,18.325224308333333
050910,18.076106166666666
050911,15.8434089
051001,16.269435683333334
051002,19.469466691666668
051003,16.011965366666665
051004,18.835395675
051005,17.000160375
051006,20.333494325
051007,22.136150725
051008,17.322296808333334
051009,15.971744083333334
051010,17.853379741666668
051011,15.820293883333333
051012,14.601536841666666
051101,20.017571091666667
051102,21.30770425
051103,22.040037566666665
051104,21.071999225
051105,19.742872958333333
051106,21.796655075
051107,22.921641925
051108,18.655235525000002
060101,19.454096841666665
