ubigeo,urban_area
061307,0
061308,0
061309,0
061310,0
061311,0
070101,376.2618058
070102,38.1158459
070103,19.173383
070104,18.1805672
070105,0
070106,764.7551141
070107,16.325598
080101,244.887305
080102,0
080103,9.6657675
080104,87.6190844
080105,188.8944332
080106,122.9039507
080107,9.6625669
080108,45.0628859
080201,0
080202,0
080203,0
080204,0
080205,0
080206,0
080207,0
080301,29.0011975
080302,0
080303,0.3411447
080304,0
080305,0
080306,0
080307,0
080308,0
080309,0
080401,0
080402,0
080403,0
080404,0
080405,0
080406,0
080407,0
080408,0
080501,9.6362875
080502,0
080503,0
080504,0
080505,0
080506,0
080507,0
080508,0
080601,96.3426762
080602,0
080603,0
080604,0
080605,0
080606,0
080607,9.6377788
080608,0
080701,9.6265019
080702,0
080703,0
080704,0
080705,0
080706,0
080707,0
080708,0
080801,19.2242231
080802,0
080803,0
080804,0
080805,0
080806,0
080807,0
080808,0
080901,96.9011569
080902,58.1986475
080903,9.684915
080904,2.0899262
080905,0
080906,9.7030287
080907,19.1324971
080908,19.341065
080909,9.68286
080910,34.0559114
080911,9.6776869
080912,0
080913,0
080914,0
081001,19.3096913
081002,0
081003,0
081004,0
081005,0
081006,0
081007,0
081008,0
081009,0
081101,0
081102,0
081103,0
081104,0
081105,0
081106,0
081201,0
081202,9.6589894
081203,0
081204,0
081205,0
081206,0
081207,0
081208,4.6221919
081209,0
081210,0
081211,34.1746254
081212,0
081301,32.0924843
081302,0
081303,0
081304,0
081305,8.1178687
081306,0
081307,0.7966133
090101,44.3981984
090102,0
090103,0
090104,0
090105,0
090106,0
090107,0
090108,0
090109,0
090110,0
090111,0
090112,0
090113,0
090114,0
090115,0
090116,0
090117,0
090118,3.1930822
090119,0
090201,0
090202,0
090203,0
090204,0
090205,0
090206,0
090207,0
090208,0
090301,9.6852563
090302,0
090303,0
090304,0
090305,7.9752487
090306,0
090307,0
090308,0
090309,0
090310,0
090311,0
090312,0
090401,67.7576006
090402,0
090403,0
090404,0
090405,0
090406,0
090407,0
090408,0
090409,0
090410,0
090411,0
090412,0
090413,0
090501,0
090502,0
090503,0
090504,0
090505,0
090506,0
090507,0
090508,0
090509,0
090510,0
090511,0
090601,0
090602,0
090603,0
090604,0
090605,0
090606,0
090607,0
090608,0
090609,0
090610,50.7129763
090611,0
090612,0
090613,0
090614,0
090615,0
090616,13.6818317
090701,4.644427
090702,0
090703,0
090704,9.4027451
090705,0
090706,12.5247252
090707,0
090709,0
090710,0
090711,0
090713,0
090714,0
090715,0
090716,0
090717,0
090718,0
090719,0
090720,0
090721,0
090722,0
090723,0
100101,151.0869975
100102,86.4823684
100103,0
100104,0
100105,0
100106,0
100107,0
100108,0
100109,9.7902081
100110,0
100111,44.5992568
100112,0
100113,0
100201,0
100202,0
100203,0
100204,0
100205,0
100206,0
100207,0
100208,0
100301,0
100307,0
100311,0
100313,0
100316,0
100317,0
100321,0
100322,0
100323,0
100401,0
100402,0
100403,0
100404,0
100501,9.7989062
100502,0
100503,0
100504,0
100505,0
100506,0
100507,9.8080631
100508,0
100509,0
100510,0
100511,0
100601,95.6740696
100602,19.6173413
100603,0
100604,19.6314462
100605,9.9224691
100606,3.6145302
100607,0
100608,41.1106477
100609,0
100610,0
100701,0
100702,17.1865428
100703,0
100704,0
100705,0
100801,0
100802,0
100803,0
100804,0
100901,29.4114413
100902,0
100903,9.8199256
100904,0
100905,9.7968844
101001,0
101002,0
101003,0
101004,0
101005,0
101006,0
101007,0
101101,0
101102,0
101103,0
101104,0
101105,0
101106,0
101107,0
101108,0
110101,264.0516301
110102,166.2302362
110103,60.7255377
110104,19.2594363
110105,16.44271
110106,103.7295556
110107,31.3799873
110108,68.0120257
110109,18.5373661
110110,109.8447569
110111,75.0258654
110112,181.5787175
110113,33.3027842
110114,0
110201,121.9011888
110202,79.1613891
110203,0
110204,124.6459619
110205,61.0587555
110206,235.9128175
110207,84.942728
110208,0
110209,9.0376563
110210,153.8229412
110211,43.1438373
110301,153.5461872
110302,0
110303,0
110304,52.1451936
110305,28.9430928
110401,52.1924105
110402,5.5094653
110403,0.0377391
110404,0
110405,0
110501,205.5370854
110502,0
110503,0
110504,0.8711705
110505,0.3406633
110506,187.2195695
110507,498.8462407
110508,118.9969073
120101,135.8045502
120104,0
120105,0
120106,0
120107,75.0050895
120108,0
120111,0
120112,0
120113,29.1400025
120114,198.8999203
120116,0
120117,0
120119,12.4241037
120120,0
120121,0
120122,0
120124,0
120125,63.3136589
120126,0
120127,0
120128,0
120129,17.1161217
120130,0.1143807
120132,0.2287613
120133,0
120134,68.0073966
120135,0
120136,0
120201,45.1522098
120202,0
120203,0
120204,0
120205,0
120206,0
120207,0
120208,0
120209,0
120210,3.8519355
120211,4.9955993
120212,0.305094
120213,0.4956496
120214,0
120215,0
120301,71.9477024
120302,57.8944745
120303,34.2091415
120304,0
120305,21.2236191
120306,0
120401,10.9504665
120402,0
120403,0
120404,4.9595268
120405,0
120406,0
120407,0
120408,0
120409,0
120410,0
120411,0
120412,0
120413,31.0862519
120414,0
120415,9.7301619
120416,0
120417,0
120418,0
120419,0
120420,0
120421,8.1641441
120422,0
120423,0
120424,0
120425,0
120426,0
120427,0
120428,4.5772688
120429,0
120430,3.3574323
120431,5.4155925
120432,0
120433,0
120434,10.2632133
120501,48.7500344
120502,39.03108
120503,0
120504,0
120601,19.4945269
120602,0
120603,0
120604,29.23362
120605,0
120606,21.7365848
120607,0
120608,34.2197636
120609,0
120701,58.4486737
120702,9.7438431
120703,9.7387306
120704,9.7468194
120705,48.71443
120706,29.2309319
120707,0
120708,19.4942312
120709,0
120801,9.2029087
120802,0
120803,0
120804,0
120805,0
120806,0
120807,29.2434163
120808,0.5346088
120809,0
120810,19.465565
120901,36.3998875
120902,0
120903,0
120904,0
120905,36.0932933
120906,0
120907,0
120908,0
120909,0
130101,289.2286678
130102,128.9267509
130103,17.243602
130104,305.7698141
130105,136.4121851
130106,240.6765065
130107,161.4103212
130108,0
130109,91.9371039
130110,0
130111,88.2895489
130201,33.0104002
130202,49.3464943
130203,37.094711
130204,6.9083356
130205,29.5355337
130206,126.7096881
130207,67.3373629
130208,0.4246763
130301,0
130302,0
130303,0
130304,0
130305,0
130306,0
130401,117.5031076
130402,93.9344003
130403,20.1395295
130501,0
130502,0
130503,0
130504,0
130601,0
130602,0
130604,0
130605,0
130606,0
130608,0
130610,0
130611,0
130613,0
130614,0
130701,110.725597
130702,102.2279196
130703,14.8767082
130704,109.0317027
130705,0.9660902
130801,0
130802,0
130803,0
130804,0
130805,0
130806,0
130807,0
130808,0
130809,0
130810,0
130811,0
130812,0
130813,0
130901,49.21625
130902,0
130903,0
130904,0
130905,0
130906,0
130907,0
130908,0
131001,0
131002,0
131003,0
131004,0
131005,0
131006,0
131007,0
131008,0
131101,18.2696642
131102,0
131103,0
131104,0
131201,49.13559
131202,40.092064
131203,15.0953588
140101,233.2128169
140102,39.4728913
140103,68.7698198
140104,4.9119532
140105,123.228872
140106,156.7514221
140107,98.6040863
140108,299.0443763
140109,0
140110,0
140111,98.5893241
140112,255.0569808
140113,123.4329224
140114,41.4662835
140115,163.026678
140116,104.2394967
140117,59.1978581
140118,139.7004705
140119,17.4482158
140120,108.5708786
140201,60.0613337
140202,0
140203,0
140204,0
140205,29.6104919
140206,15.9051888
140301,214.9864864
140302,0
140303,41.9628083
140304,9.8729544
140305,19.7399281
140306,49.3504244
140307,9.8772637
140308,59.27627
140309,9.8722775
140310,0
140311,35.5919115
140312,15.4453418
150101,199.3138628
150102,321.4167214
150103,632.165961
150104,14.9747663
150105,26.7189985
150106,1221.745779
150107,171.8346984
150108,316.2834556
150109,205.6949854
150110,432.7771296
150111,121.332415
150112,147.356271
150113,32.4345791
150114,427.61538
150115,94.7894263
150116,23.782007
150117,185.605326
150118,1344.9955137
150119,207.4147816
150120,36.0909986
150121,39.6763114
150122,77.8150755
150123,119.8324585
150124,0
150125,437.3008855
150126,9.0250872
150127,0
150128,107.4637148
150129,0
150130,95.9241301
150131,101.7542607
150132,1076.455873
150133,198.2099458
150134,37.7329333
150135,394.0978264
150136,94.7502072
150137,106.8064326
150138,0
150139,85.5351384
150140,348.0642567
150141,52.4366904
150142,335.5295385
150143,432.176433
150201,705.3615469
150202,183.2247953
150203,698.4645579
150204,222.6598773
150205,117.6426009
150301,19.5434425
150302,0
150303,0
150304,0
150305,0
150401,9.7017435
150402,0
150403,0
150404,0
150405,9.7372138
150406,0.0763917
150407,55.5260796
150501,250.70081
150502,13.8003581
150503,0
150504,83.3175949
150505,9.7056544
150506,0
150507,211.3234667
150508,0
150509,238.9349386
150510,167.3901124
150511,0
150512,123.7532103
150513,22.2097621
150514,95.8417572
150515,6.9606958
150516,0
150601,88.4913642
150602,9.7477075
150603,0
150604,53.5957186
150605,46.9242866
150606,5.1586633
150607,0
150608,0
150609,0
150610,0
150611,0.2292739
150612,0
150701,0
150702,0
