ubigeo_ori,ubigeo_des,cases
150115,150130,993
150115,150131,1238
150115,150132,484
150115,150133,47
150115,150134,1727
150115,150135,191
150115,150136,644
150115,150137,360
150115,150140,1264
150115,150141,260
150115,150142,95
150115,150143,47
150116,150101,1360
150116,150102,1
150116,150103,26
150116,150104,53
150116,150105,279
150116,150106,4
150116,150107,8
150116,150108,164
150116,150109,2
150116,150110,17
150116,150111,37
150116,150112,42
150116,150113,1291
150116,150114,535
150116,150115,327
150116,150116,6243
150116,150117,120
150116,150118,21
150116,150119,5
150116,150120,185
150116,150121,400
150116,150122,583
150116,150123,15
150116,150124,1
150116,150125,6
150116,150128,69
150116,150129,1
150116,150130,166
150116,150131,1608
150116,150132,58
150116,150133,19
150116,150134,40
150116,150135,107
150116,150136,558
150116,150137,77
150116,150140,669
150116,150141,135
150116,150142,37
150116,150143,13
150117,150101,4832
150117,150102,47
150117,150103,105
150117,150104,82
150117,150105,635
150117,150106,140
150117,150107,19
150117,150108,324
150117,150110,2303
150117,150111,153
150117,150112,3197
150117,150113,1454
150117,150114,1262
150117,150115,264
150117,150116,720
150117,150117,70596
150117,150118,143
150117,150119,27
150117,150120,309
150117,150121,868
150117,150122,769
150117,150123,39
150117,150125,466
150117,150128,795
150117,150129,8
150117,150130,301
150117,150131,1165
150117,150132,202
150117,150133,27
150117,150134,67
150117,150135,4475
150117,150136,2489
150117,150137,375
150117,150139,3
150117,150140,1572
150117,150141,282
150117,150142,78
150117,150143,29
150118,150101,2914
150118,150102,10
150118,150103,6691
150118,150104,69
150118,150105,236
150118,150106,8
150118,150107,1833
150118,150108,148
150118,150109,6
150118,150110,69
150118,150111,168
150118,150112,394
150118,150113,487
150118,150114,1396
150118,150115,298
150118,150116,457
150118,150117,487
150118,150118,54884
150118,150119,17
150118,150120,95
150118,150121,185
150118,150122,262
150118,150123,35
150118,150124,1
150118,150125,50
150118,150126,1
150118,150128,233
150118,150129,3
150118,150130,244
150118,150131,315
150118,150132,1655
150118,150133,46
150118,150134,90
150118,150135,212
150118,150136,333
150118,150137,871
150118,150140,944
150118,150141,99
150118,150142,102
150118,150143,30
150119,150101,896
150119,150102,2
150119,150103,43
150119,150104,21
150119,150105,79
150119,150106,6
150119,150107,8
150119,150108,410
150119,150109,10
150119,150110,9
150119,150111,26
150119,150112,44
150119,150113,161
150119,150114,201
150119,150115,72
150119,150116,183
150119,150117,123
150119,150118,38
150119,150119,18340
150119,150120,24
150119,150121,71
150119,150122,276
150119,150123,838
150119,150124,4
150119,150125,14
150119,150126,23
150119,150127,36
150119,150128,49
150119,150129,43
150119,150130,112
150119,150131,125
150119,150132,71
150119,150133,399
150119,150134,64
150119,150135,43
150119,150136,83
150119,150137,50
150119,150139,3
150119,150140,1052
150119,150141,69
150119,150142,1936
150119,150143,1304
150120,150101,1033
150120,150103,13
150120,150104,48
150120,150105,416
150120,150107,2
150120,150108,187
150120,150110,13
150120,150111,24
150120,150112,30
150120,150113,1340
150120,150114,519
150120,150115,61
150120,150116,298
150120,150117,128
150120,150118,8
150120,150119,3
150120,150120,5928
150120,150121,953
150120,150122,751
150120,150123,20
150120,150125,2
150120,150128,70
150120,150129,1
150120,150130,185
150120,150131,1902
150120,150132,31
150120,150133,15
150120,150134,19
150120,150135,114
150120,150136,2322
150120,150137,84
150120,150140,866
150120,150141,141
150120,150142,60
150120,150143,2
150121,150101,1940
150121,150102,2
150121,150103,33
150121,150104,61
150121,150105,1360
150121,150106,6
150121,150107,11
150121,150108,238
150121,150109,6
150121,150110,21
150121,150111,56
150121,150112,43
150121,150113,2301
150121,150114,728
150121,150115,123
150121,150116,525
150121,150117,197
150121,150118,36
150121,150119,8
150121,150120,1045
150121,150121,8895
150121,150122,623
150121,150123,18
150121,150125,14
150121,150128,165
150121,150130,185
150121,150131,1700
150121,150132,56
150121,150133,10
150121,150134,26
150121,150135,187
150121,150136,3294
150121,150137,82
150121,150140,1083
150121,150141,178
150121,150142,56
150121,150143,8
150122,150101,682
150122,150103,65
150122,150104,480
150122,150105,99
150122,150106,4
150122,150107,6
150122,150108,1013
150122,150109,2
150122,150110,21
150122,150111,16
150122,150112,17
150122,150113,911
150122,150114,1223
150122,150115,56
150122,150116,302
150122,150117,89
150122,150118,30
150122,150119,7
150122,150120,279
150122,150121,332
150122,150122,10203
150122,150123,28
150122,150125,4
150122,150128,48
150122,150129,1
150122,150130,446
150122,150131,2256
150122,150132,38
150122,150133,21
150122,150134,20
150122,150135,156
150122,150136,1000
150122,150137,50
150122,150140,3107
150122,150141,376
150122,150142,139
150122,150143,17
150123,150101,1203
150123,150102,6
150123,150103,794
150123,150104,23
150123,150105,104
150123,150106,3
150123,150107,15
150123,150108,170
150123,150109,329
150123,150110,21
150123,150111,79
150123,150112,99
150123,150113,234
150123,150114,3767
150123,150115,177
150123,150116,455
150123,150117,154
150123,150118,135
150123,150119,330
150123,150120,54
150123,150121,95
150123,150122,166
150123,150123,24684
150123,150125,20
150123,150126,10
150123,150127,2
150123,150128,80
150123,150129,6
150123,150130,215
150123,150131,188
150123,150132,230
150123,150133,154
150123,150134,158
150123,150135,56
150123,150136,147
150123,150137,415
150123,150139,1
150123,150140,610
150123,150141,66
150123,150142,363
150123,150143,140
150124,150101,158
150124,150103,8
150124,150104,3
150124,150105,16
150124,150106,1
150124,150107,1
150124,150108,35
150124,150109,1
150124,150110,3
150124,150111,6
150124,150112,11
150124,150113,21
150124,150114,20
150124,150115,12
150124,150116,35
150124,150117,20
150124,150118,3
150124,150119,89
150124,150120,3
150124,150121,12
150124,150122,23
150124,150123,15
150124,150124,3264
150124,150125,1
150124,150126,2
150124,150127,58
150124,150128,2
150124,150129,123
150124,150130,12
150124,150131,11
150124,150132,14
150124,150133,39
150124,150134,13
150124,150135,7
150124,150136,7
150124,150137,9
150124,150140,99
150124,150141,5
150124,150142,104
150124,150143,10
150125,150101,3093
150125,150102,396
150125,150103,101
150125,150104,39
150125,150105,327
150125,150106,344
150125,150107,23
150125,150108,162
150125,150109,7
150125,150110,2013
150125,150111,118
150125,150112,2218
