type,origin,destination,flow
Total,150117,150123,108
Total,150117,150124,43
Total,150117,150125,3366
Total,150117,150126,34
Total,150117,150127,10
Total,150117,150128,2077
Total,150117,150129,26
Total,150117,150130,2087
Total,150117,150131,6513
Total,150117,150132,1469
Total,150117,150133,347
Total,150117,150134,508
Total,150117,150135,11832
Total,150117,150136,4468
Total,150117,150137,1531
Total,150117,150138,1
Total,150117,150139,32
Total,150117,150140,3695
Total,150117,150141,1390
Total,150117,150142,449
Total,150117,150143,164
Total,150118,070101,894
Total,150118,070102,58
Total,150118,070103,12
Total,150118,070104,44
Total,150118,070105,17
Total,150118,070106,87
Total,150118,070107,1
Total,150118,150101,6018
Total,150118,150102,45
Total,150118,150103,14454
Total,150118,150104,139
Total,150118,150105,414
Total,150118,150106,55
Total,150118,150107,3741
Total,150118,150108,467
Total,150118,150109,78
Total,150118,150110,180
Total,150118,150111,619
Total,150118,150112,443
Total,150118,150113,864
Total,150118,150114,2606
Total,150118,150115,2274
Total,150118,150116,667
Total,150118,150117,694
Total,150118,150118,108970
Total,150118,150119,361
Total,150118,150120,229
Total,150118,150121,295
Total,150118,150122,1058
Total,150118,150123,105
Total,150118,150124,28
Total,150118,150125,174
Total,150118,150126,16
Total,150118,150127,7
Total,150118,150128,469
Total,150118,150129,16
Total,150118,150130,870
Total,150118,150131,1352
Total,150118,150132,3431
Total,150118,150133,226
Total,150118,150134,588
Total,150118,150135,389
Total,150118,150136,482
Total,150118,150137,4381
Total,150118,150138,4
Total,150118,150139,3
Total,150118,150140,1769
Total,150118,150141,362
Total,150118,150142,348
Total,150118,150143,120
Total,150119,070101,276
Total,150119,070102,13
Total,150119,070103,12
Total,150119,070104,13
Total,150119,070105,5
Total,150119,070106,16
Total,150119,150101,1602
Total,150119,150102,7
Total,150119,150103,275
Total,150119,150104,107
Total,150119,150105,132
Total,150119,150106,14
Total,150119,150107,14
Total,150119,150108,1042
Total,150119,150109,20
Total,150119,150110,29
Total,150119,150111,71
